,Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link
2003,1116774-Swept Away,"Imagine being shipwrecked on a beautiful island -- with someone you really can't stand. A young soldier (Adriano Giannini) is cast adrift on an island with his employer, a rich, self-centered woman who is used to having her own way. Cut off from society, he reverses their roles, stripping her of pride and vanity and controlling her completely. Until, that is, she falls in love with him.", English, 1h 29m, Guy Ritchie, Matthew Vaughn, Guy Ritchie,"['Madonna', 'Amber', 'Adriano Giannini', 'Giuseppe', 'Jeanne Tripplehorn', 'Marina', 'Bruce Greenwood', 'Tony', 'Elizabeth Banks', 'Debi', 'David Thornton', 'Michael']", Columbia Pictures, SKA Films, $598.6K,5%,28%,78," Romance, Comedy"," Oct 11, 2002  Wide"," Sep 15, 2008",https://www.rottentomatoes.com/m/1116774-swept_away
2004,Before We Go,"A chance encounter between two strangers (Chris Evans, Alice Eve) in Grand Central Terminal sparks a life-changing, nighttime sojourn through New York City.", English, 1h 35m, Chris Evans," Chris Evans, Mark Kassen, McG, Mary Viola, Karen Elise Baldwin, Howard Baldwin, William J. Immerman"," Ronald Bass, Jen Smolka, Chris Shafer, Paul Vicknair","['Chris Evans', 'Nick Vaughan', 'Alice Eve', 'Brooke Dalton', 'Emma Fitzpatrick', 'Hannah', 'John Cullum', 'Psychic', 'Mark Kassen', 'Danny', 'Elijah Moreland', 'Cole']", Radius TWC, Wonderland Sound and Vision, $37.0K,29%,57%,31," Comedy, Drama, Romance"," Sep 4, 2015  Limited"," Aug 18, 2016",https://www.rottentomatoes.com/m/before_we_go
2005,27 Dresses,"Perennial bridesmaid Jane (Katherine Heigl) always puts the needs of others before her own, making her the go-to gal whenever someone needs help with wedding plans. So when Jane's younger sister Tess (Malin Akerman) snags the man (Edward Burns) Jane secretly loves, Jane finds herself questioning her role as a wedding junkie for the first time in her life. Meanwhile, a handsome reporter (James Marsden) sees Jane's unusual story as his ticket off the bridal beat.", English, 1h 47m, Anne Fletcher," Roger Birnbaum, Gary Barber, Jonathan Glickman", Aline Brosh McKenna,"['Katherine Heigl', 'Jane', 'James Marsden', 'Kevin', 'Malin Akerman', 'Tess', 'Edward Burns', 'George', 'Judy Greer', 'Casey', 'Melora Hardin', 'Maureen']", 20th Century Fox," Birnbaum/Barber, Spyglass Entertainment", $76.8M,40%,57%,154," Romance, Comedy"," Jan 18, 2008  Wide"," Nov 25, 2015",https://www.rottentomatoes.com/m/27_dresses
2006,Ps I Love You,"When Gerry (Gerard Butler), the husband of Holly Kennedy (Hilary Swank), dies from an illness, she loses the love of her life. Knowing how hard Holly will take his death, Gerry plans ahead. Beginning on her 30th birthday, she receives the first in a series of letters written by him, designed to ease her grief and encourage her to move forward to a new life.", English, 2h 6m, Richard LaGravenese," Wendy Finerman, Broderick Johnson, Andrew A. Kosove, Molly Smith"," Richard LaGravenese, Steven Rogers","['Hilary Swank', 'Holly Kennedy', 'Gerard Butler', 'Gerry', 'Lisa Kudrow', 'Denise', 'Gina Gershon', 'Sharon', 'James Marsters', 'John', 'Kathy Bates', 'Patricia']", Warner Bros., Grosvenor Park Productions, $53.7M,25%,80%,105," Romance, Comedy, Drama"," Dec 21, 2007  Wide"," Jan 30, 2010",https://www.rottentomatoes.com/m/ps_i_love_you
2007,Made Of Honor,"Always shy of commitment, Tom (Patrick Dempsey) lives as a serial dater. Hannah (Michelle Monaghan), his best friend, has wanted to marry and now has found Mr. Right -- just as Tom realizes he really loves Hannah. When she asks him to be in her bridal party, Tom seizes the opportunity to prevent the nuptials and woo her himself.", English, 1h 41m, Paul Weiland, Neil Moritz," Adam Sztykiel, Deborah Kaplan, Harry Elfont","['Patrick Dempsey', 'Tom', 'Michelle Monaghan', 'Hannah', 'Kevin McKidd', 'Colin', 'Kathleen Quinlan', 'Joan', 'Sydney Pollack', 'Thomas Sr.', 'Kadeem Hardison', 'Felix']", Sony Pictures Entertainment, Original Film, $46.0M,16%,55%,125," Romance, Comedy"," May 2, 2008  Wide"," Jan 1, 2012",https://www.rottentomatoes.com/m/made_of_honor
2008,Ugly Truth,"Abby Richter (Katherine Heigl) is a lovelorn TV producer who, despite a long and arduous search for the perfect mate, is hopelessly single. The battle of the sexes heats up when her employers team her up with Mike Chadway (Gerard Butler), an opinionated TV celebrity who plans to put Abby through the wringer to prove his own theories about what makes men and women tick.", English, 1h 35m, Robert Luketic," Tom Rosenberg, Gary Lucchesi, Steven Reuther, Kimberly di Bonaventura, Deborah Jelin Newmyer"," Nicole Eastman, Karen McCullah, Kirsten Smith","['Katherine Heigl', 'Abby Richter', 'Gerard Butler', 'Mike Chadway', 'Eric Winter', 'Colin', 'John Michael Higgins', 'Larry', 'Bree Turner', 'Joy', 'Nick Searcy', 'Stuart']"," Columbia, Sony Pictures Entertainment"," Lakeshore Entertainment, Steven Reuther", $88.9M,14%,60%,176," Romance, Comedy"," Jul 24, 2009  Wide"," Apr 16, 2012",https://www.rottentomatoes.com/m/ugly_truth
2009,The Other Woman 2014,"New York lawyer Carly Whitten (Cameron Diaz) lives by strict rules when it comes to romantic relationships, but when she falls for suave, handsome Mark King (Nikolaj Coster-Waldau), she begins an affair with him. A surprise visit to Mark's home reveals that he is married to devoted housewife Kate (Leslie Mann). Carly and Kate direct their hurt and anger toward Mark, and when they discover yet a third woman (Kate Upton) caught in his web of lies, the three join forces for revenge.", English, 1h 49m, Nick Cassavetes, Julie Yorn, Melissa Stack,"['Cameron Diaz', 'Carly Whitten', 'Leslie Mann', 'Kate', 'Kate Upton', 'Amber', 'Nikolaj Coster-Waldau', 'Mark King', 'Taylor Kinney', 'Phil', 'Nicki Minaj', 'Lydia']", 20th Century Fox," 20th Century Fox, LBI Productions", $83.9M,26%,57%,168," Romance, Comedy"," Apr 25, 2014  Wide"," Nov 21, 2014",https://www.rottentomatoes.com/m/the_other_woman_2014
2010,Finding You,"FINDING YOU is an inspirational romantic drama full of heart and humor about finding the strength to be true to oneself. After an ill-fated audition at a prestigious New York music conservatory, violinist Finley Sinclair (Rose Reid) travels to an Irish coastal village to begin her semester studying abroad. At the B&B run by her host family, she encounters gregarious and persistent heartthrob movie star Beckett Rush (Jedidiah Goodacre), who is there to film another installment of his medieval fantasy-adventure franchise. As romance sparks between the unlikely pair, Beckett ignites a journey of discovery for Finley that transforms her heart, her music, and her outlook on life. In turn, Finley emboldens Beckett to reach beyond his teen-idol image and pursue his true passion. But when forces surrounding Beckett's stardom threaten to crush their dreams, Finley must decide what she is willing to risk for love.", English, 1h 55m, Brian Baugh," Brian Baugh, Ken Carpenter, Stephen Preston, Julie Ryan", Brian Baugh,"['Rose Reid', 'Finley Sinclair', 'Jedidiah Goodacre', 'Beckett Rush', 'Katherine McNamara', 'Taylor Risdale', 'Patrick Bergin', 'Seamus', 'Saoirse-Monica Jackson', 'Emma Callaghan', 'Judith Hoag', 'Jennifer Sinclair']", Roadside Attractions," Nook Lane Entertainment, MK1 Productions, Red Sky Studios", $2.8M,51%,91%,39," Romance, Comedy"," May 14, 2021  Wide"," Jul 27, 2021",https://www.rottentomatoes.com/m/finding_you
2011,Cocktail,"Brian Flanagan (Tom Cruise) wants a high-paying marketing job, but needs a business degree first. Working as a bartender to pay for college, Flanagan is mentored by his veteran boss, Doug Coughlin (Bryan Brown). Together, their showy tricks and charisma command large crowds and tip payments -- until Flanagan and the cynical Coughlin have a falling out. Flanagan moves to Jamaica to raise enough money to open his own bar, where he falls in love with artist Jordan Mooney (Elisabeth Shue).", English, 1h 44m, Roger Donaldson," Robert W. Cort, Ted Field", Heywood Gould,"['Tom Cruise', 'Brian Flanagan', 'Bryan Brown', ""Douglas 'Doug' Coughlin"", 'Elisabeth Shue', 'Jordan Mooney', 'Lisa Banes', 'Bonnie', 'Laurence Luckinbill', 'Mr. Mooney', 'Kelly Lynch', 'Kerry Coughlin']", Touchstone Pictures," Touchstone Pictures, Interscope Communications", $77.3M,9%,58%,45," Romance, Comedy, Drama"," Jul 29, 1988  Original"," Aug 10, 2016",https://www.rottentomatoes.com/m/cocktail
2012,Serena 2015,"In Depression-era North Carolina, the barren wife (Jennifer Lawrence) of an ambitious timber baron (Bradley Cooper) sets out to murder the woman who bore her husband an illegitimate son.", English, 1h 49m, Susanne Bier," Nick Wechsler, Susanne Bier, Steve Schwartz, Paula Mae Schwartz, Todd Wagner, Ron Halpern, Ben Cosgrove", Christopher Kyle,"['Jennifer Lawrence', 'Serena Pemberton', 'Bradley Cooper', 'George Pemberton', 'Toby Jones', 'Sheriff McDowell', 'Rhys Ifans', 'Galloway', 'David Dencik', 'Buchanan', 'Ana Ularu', 'Rachel']", Magnolia Pictures," Nick Wechsler, Chockstone Pictures", $176.3K,16%,23%,112," Drama, Romance"," Mar 27, 2015  Limited"," Jun 9, 2016",https://www.rottentomatoes.com/m/serena_2015
2013,Two Weeks Notice,"Dedicated environmental lawyer Lucy Kelson (Sandra Bullock) goes to work for billionaire George Wade (Hugh Grant) as part of a deal to preserve a community center. Indecisive and weak-willed George grows dependent on Lucy's guidance on everything from legal matters to clothing. Exasperated, Lucy gives notice and picks Harvard graduate June Carter (Alicia Witt) as her replacement. As Lucy's time at the firm nears an end, she grows jealous of June and has second thoughts about leaving George.", English, 1h 41m, Marc Lawrence, Sandra Bullock, Marc Lawrence,"['Sandra Bullock', 'Lucy Kelson', 'Hugh Grant', 'George Wade', 'Alicia Witt', 'June Carter', 'Dana Ivey', 'Ruth Kelson', 'Robert Klein', 'Larry Kelson', 'Heather Burns', 'Meryl']", Warner Bros. Pictures," Castle Rock Entertainment, Village Roadshow Prod.", $93.3M,42%,59%,124," Romance, Comedy"," Dec 20, 2002  Wide"," Jul 16, 2011",https://www.rottentomatoes.com/m/two_weeks_notice
2014,Kabir Singh,A house surgeon goes into a self-destructive spiral after his girlfriend is forced to marry another man., Hindi, 2h 52m, Sandeep Reddy Vanga," Murad Khetani, Bhushan Kumar, Krishan Kumar, Ashwin Varde"," Siddharth Singh, Sandeep Reddy Vanga","['Shahid Kapoor', 'Kabir Singh', 'Kiara Advani', 'Arjan Bajwa', 'Aanchal Chauhan', 'Suresh Oberoi', 'Sandeep Reddy Vanga', 'Director']", Weekend Cinema," Cine1 Studios, T-Series", $2.1M,23%,79%,13," Drama, Romance"," Jun 21, 2019  Limited"," Sep 19, 2019",https://www.rottentomatoes.com/m/kabir_singh
2015,No Strings Attached 2011,"Lifelong friends Emma (Natalie Portman) and Adam (Ashton Kutcher) take their relationship to the next level by having sex. Afraid of ruining their friendship, the new lovers make a pact to keep things purely physical, with no fighting, no jealousy and no expectations. Emma and Adam pledge to do whatever they want, wherever they want, as long as they do not fall in love. The question then becomes: Who will fall first?", English, 1h 48m, Ivan Reitman," Ivan Reitman, Joe Medjuck, Jeffrey Clifford", Elizabeth Meriwether,"['Natalie Portman', 'Emma', 'Ashton Kutcher', 'Adam', 'Cary Elwes', 'Dr. Metzner', 'Kevin Kline', 'Alvin', 'Lake Bell', 'Lucy', 'Olivia Thirlby', 'Katie']", Paramount Pictures, Montecito Picture Company, $70.6M,47%,51%,173," Romance, Comedy"," Jan 21, 2011  Wide"," Jun 6, 2014",https://www.rottentomatoes.com/m/no_strings_attached_2011
2016,Eternal Sunshine Of The Spotless Mind,"After a painful breakup, Clementine (Kate Winslet) undergoes a procedure to erase memories of her former boyfriend Joel (Jim Carrey) from her mind. When Joel discovers that Clementine is going to extremes to forget their relationship, he undergoes the same procedure and slowly begins to forget the woman that he loved. Directed by former music video director Michel Gondry, the visually arresting film explores the intricacy of relationships and the pain of loss.", English, 1h 48m, Michel Gondry," Anthony Bregman, Steve Golin"," Charlie Kaufman, Michel Gondry","['Jim Carrey', 'Joel Barish', 'Kate Winslet', 'Clementine Kruczynski', 'Kirsten Dunst', 'Mary', 'Mark Ruffalo', 'Stan', 'Elijah Wood', 'Patrick', 'Tom Wilkinson', 'Dr. Mierzwiak']", Focus Features," Anonymous Content, Focus Features, Blue Ruin, This Is That Productions", $34.1M,92%,94%,256," Romance, Sci-fi"," Mar 19, 2004  Original"," Feb 12, 2014",https://www.rottentomatoes.com/m/eternal_sunshine_of_the_spotless_mind
2017,Phantom Thread,"Renowned dressmaker Reynolds Woodcock and his sister Cyril are at the center of British fashion in 1950s London -- dressing royalty, movie stars, heiresses, socialites and debutantes. Women come and go in Woodcock's life, providing the confirmed bachelor with inspiration and companionship. His carefully tailored existence soon gets disrupted by Alma, a young and strong-willed woman who becomes his muse and lover.", English, 2h 10m, Paul Thomas Anderson," JoAnne Sellar, Paul Thomas Anderson, Megan Ellison, Daniel Lupi", Paul Thomas Anderson,"['Daniel Day-Lewis', 'Reynolds Woodcock', 'Vicky Krieps', 'Alma', 'Lesley Manville', 'Cyril', 'Camilla Rutherford', 'Johanna', 'Gina McKee', 'Countess Henrietta Harding', 'Brian Gleeson', 'Dr. Robert Hardy']", Focus Features," Annapurna Pictures, Ghoulardi Film Company, Perfect World Pictures", $20.9M,91%,70%,359," Drama, Romance"," Jan 19, 2018  Wide"," Mar 15, 2018",https://www.rottentomatoes.com/m/phantom_thread
2018,10 Things I Hate About You,"Kat Stratford (Julia Stiles) is beautiful, smart and quite abrasive to most of her fellow teens, meaning that she doesn't attract many boys. Unfortunately for her younger sister, Bianca (Larisa Oleynik), house rules say that she can't date until Kat has a boyfriend, so strings are pulled to set the dour damsel up for a romance. Soon Kat crosses paths with handsome new arrival Patrick Verona (Heath Ledger). Will Kat let her guard down enough to fall for the effortlessly charming Patrick?", English, 1h 37m, Gil Junger, Andrew Lazar," Karen McCullah, Kirsten Smith","['Heath Ledger', ""Patrick 'Pat' Verona"", 'Julia Stiles', ""Katarina 'Kat' Stratford"", 'Joseph Gordon-Levitt', 'Cameron James', 'Larisa Oleynik', 'Bianca Stratford', 'David Krumholtz', 'Michael Eckman', 'Andrew Keegan', 'Joey Donner']"," Touchstone Pictures, Buena Vista Pictures"," Touchstone Pictures, Mad Chance", $38.2M,71%,69%,93," Comedy, Romance"," Mar 31, 1999  Wide"," Oct 2, 2014",https://www.rottentomatoes.com/m/10_things_i_hate_about_you
2019,1153077-1153077-Pride And Prejudice,"In this adaptation of Jane Austen's beloved novel, Elizabeth Bennet (Keira Knightley) lives with her mother, father and sisters in the English countryside. As the eldest, she faces mounting pressure from her parents to marry. When the outspoken Elizabeth is introduced to the handsome and upper-class Mr. Darcy (Matthew Macfadyen), sparks fly. Although there is obvious chemistry between the two, Darcy's overly reserved nature threatens the fledgling relationship.", English (United Kingdom), 2h 8m, Joe Wright," Tim Bevan, Eric Fellner, Paul Webster"," Jane Austen, Lee Hall, Deborah Moggach","['Keira Knightley', 'Elizabeth Bennet', 'Matthew Macfadyen', 'Mr. Darcy', 'Brenda Blethyn', 'Mrs. Bennet', 'Donald Sutherland', 'Mr. Bennet', 'Judi Dench', 'Lady Catherine de Bourgh', 'Rosamund Pike', 'Jane Bennett']", Focus Features," Universal Pictures, Working Title Films", $38.4M,87%,89%,180," Drama, Romance"," Nov 23, 2005  Wide"," Feb 12, 2014",https://www.rottentomatoes.com/m/1153077-1153077-pride_and_prejudice
2020,Crazy Rich Asians,"Rachel Chu is happy to accompany her longtime boyfriend, Nick, to his best friend's wedding in Singapore. She's also surprised to learn that Nick's family is extremely wealthy and he's considered one of the country's most eligible bachelors. Thrust into the spotlight, Rachel must now contend with jealous socialites, quirky relatives and something far, far worse -- Nick's disapproving mother.", English, 2h 0m, Jon M. Chu," Nina Jacobson, Brad Simpson, John Penotti"," Peter Chiarelli, Adele Lim","['Constance Wu', 'Rachel Chu', 'Henry Golding', 'Nick Young', 'Michelle Yeoh', 'Eleanor Young', 'Gemma Chan', 'Astrid Young Teo', 'Lisa Lu', 'Shang Su Yi', 'Awkwafina', 'Peik Lin Goh']", Warner Bros. Pictures," Color Force, Ivanhoe Pictures", $174.5M,91%,76%,374," Romance, Comedy"," Aug 15, 2018  Wide"," Nov 6, 2018",https://www.rottentomatoes.com/m/crazy_rich_asians
2021,Long Shot 2019,"Fred Flarsky is a gifted and free-spirited journalist who has a knack for getting into trouble. Charlotte Field is one of the most influential women in the world -- a smart, sophisticated and accomplished politician. When Fred unexpectedly runs into Charlotte, he soon realizes that she was his former baby sitter and childhood crush. When Charlotte decides to make a run for the presidency, she impulsively hires Fred as her speechwriter -- much to the dismay of her trusted advisers.", English, 2h 3m, Jonathan Levine," Charlize Theron, A.J. Dix, Beth Kono, Evan Goldberg, Seth Rogen, James Weaver"," Liz Hannah, Dan Sterling","['Seth Rogen', 'Fred Flarsky', 'Charlize Theron', 'Charlotte Field', 'June Diane Raphael', 'Maggie Millikin', ""O'Shea Jackson Jr."", 'Lance', 'Ravi Patel', 'Tom', 'Bob Odenkirk', 'President Chambers']"," Summit Entertainment, Lionsgate Films"," Point Grey, Denver and Delilah Productions", $30.3M,82%,74%,305," Romance, Comedy"," May 3, 2019  Wide"," Jul 16, 2019",https://www.rottentomatoes.com/m/long_shot_2019
2022,Pretty Woman,"In this modern update on Cinderella, a prostitute and a wealthy businessman fall hard for one another, forming an unlikely pair. While on a business trip in L.A., Edward (Richard Gere), who makes a living buying and breaking up companies, picks up a hooker, Vivian (Julia Roberts), on a lark. After Edward hires Vivian to stay with him for the weekend, the two get closer, only to discover there are significant hurdles to overcome as they try to bridge the gap between their very different worlds.", English, 1h 54m, Garry Marshall," Nancy Gross, Steven Reuther, Arnon Milchan", J.F. Lawton,"['Richard Gere', 'Edward Lewis', 'Julia Roberts', ""Vivian 'Viv' Ward"", 'Ralph Bellamy', ""James 'Jim' Morse"", 'Jason Alexander', ""Philip 'Phil' Stuckey"", 'Laura San Giacomo', 'Kit De Luca', 'Héctor Elizondo', 'Barney Thompson, Hotel Manager']", Buena Vista Pictures," Touchstone Pictures, Silver Screen Partners IV", $178.4M,65%,68%,77," Romance, Comedy"," Mar 23, 1990  Original"," Jan 1, 2014",https://www.rottentomatoes.com/m/pretty_woman
2023,Blue Valentine,"Dean (Ryan Gosling) and Cindy (Michelle Williams) live a quiet life in a modest neighborhood. To the casual observer, everything appears normal, if a bit subdued. But a closer examination reveals a couple caught in a downward spiral. They appear to have the world at their feet at the outset of the relationship. However, his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage.", English, 2h 0m, Derek Cianfrance," Lynette Howell Taylor, Alex Orlovsky, Jamie Patricof"," Derek Cianfrance, Joey Curtis, Cami Delavigne","['Ryan Gosling', 'Dean', 'Michelle Williams', 'Cindy', 'Faith Wladyka', 'Frankie', 'John Doman', 'Jerry Heller', 'Mike Vogel', 'Bobby', 'Ben Shenkman', 'Dr. Feinberg']", Weinstein Co.," Silverwood Films, Hunting Lane", $9.7M,86%,77%,213," Drama, Romance"," Dec 29, 2010  Limited"," Apr 1, 2017",https://www.rottentomatoes.com/m/blue_valentine
2024,Ash Is Purest White,"In an industrial city in China, a young dancer named Qiao falls in love with a mobster named Bin. When a fight breaks out between rival gangs, Qiao uses a gun to protect Bin and is sent to prison for five years.", Chinese, 2h 21m, Zhang-Ke Jia, Shozo Ichiyama, Zhang-Ke Jia,"['Tao Zhao', 'Qiao', 'Fan Liao', 'Bin', 'Zheng Xu', 'Casper Liang', 'Feng Xiao-Gang', 'Diao Yinan', 'Lin Jiadong']", Cohen Media Group," Xstream Pictures, Arte, Eyesteelfilm, Office Kitano", $416.0K,99%,70%,159," Drama, Romance"," Mar 15, 2019  Limited"," Jul 16, 2019",https://www.rottentomatoes.com/m/ash_is_purest_white
2025,Moonrise Kingdom,"The year is 1965, and the residents of New Penzance, an island off the coast of New England, inhabit a community that seems untouched by some of the bad things going on in the rest of the world. Twelve-year-olds Sam (Jared Gilman) and Suzy (Kara Hayward) have fallen in love and decide to run away. But a violent storm is approaching the island, forcing a group of quirky adults (Bruce Willis, Edward Norton, Bill Murray) to mobilize a search party and find the youths before calamity strikes.", English, 1h 34m, Wes Anderson," Wes Anderson, Scott Rudin, Steven Rales, Jeremy Dawson"," Wes Anderson, Roman Coppola","['Bruce Willis', 'Captain Sharp', 'Ed Norton', 'Scout Master Ward', 'Bill Murray', 'Mr. Bishop', 'Frances McDormand', 'Mrs. Bishop', 'Tilda Swinton', 'Social Services', 'Jared Gilman', 'Sam']", Focus Features," Indian Paintbrush, American Empirical Pictures", $45.5M,93%,86%,270," Comedy, Drama, Romance"," Jun 29, 2012  Wide"," Dec 10, 2015",https://www.rottentomatoes.com/m/moonrise_kingdom
2026,Four Weddings And A Funeral,"Lovable Englishman Charles (Hugh Grant) and his group of friends seem to be unlucky in love. When Charles meets a beautiful American named Carrie (Andie MacDowell) at a wedding, he thinks his luck may have changed. But, after one magical night, Carrie returns to the States, ending what might have been. As Charles and Carrie's paths continue to cross -- over a handful of nuptials and one funeral -- he comes to believe they are meant to be together, even if their timing always seems to be off.", English, 1h 56m, Mike Newell, Duncan Kenworthy, Richard Curtis,"['Hugh Grant', 'Charles (Wedding one)', 'Andie MacDowell', 'Carrie (Wedding one)', 'Kristin Scott Thomas', 'Fiona (Wedding one)', 'Simon Callow', 'Gareth (Wedding one)', 'Rowan Atkinson', 'Father Gerald - Wedding Two', 'James Fleet', 'Tom (Wedding one)']"," Gramercy Pictures, MGM/UA Home Entertainment Inc."," PolyGram Filmed Entertainment, Channel Four Films, Working Title Films", $49.3M,96%,74%,75," Romance, Comedy"," Mar 9, 1994  Wide"," Aug 15, 2014",https://www.rottentomatoes.com/m/four_weddings_and_a_funeral
2027,40 Year Old Virgin,"Andy Stitzer (Steve Carell) is an amiable single guy who works at a big-box store. Living alone, 40-year-old Andy spends his free time playing video games and curating his action-figure collection. Despite his age, Andy has never had sex, so his friends, including the laid-back David (Paul Rudd), push Andy towards losing his virginity. While attempting to get over his awkwardness around female customers, Andy meets local shop owner Trish (Catherine Keener), and they begin a tentative romance.", English, 1h 56m, Judd Apatow," Judd Apatow, Shauna Robertson, Clayton Townsend"," Judd Apatow, Steve Carell","['Steve Carell', 'Andy Stitzer', 'Catherine Keener', 'Trish', 'Paul Rudd', 'David', 'Romany Malco', 'Jay', 'Seth Rogen', 'Cal', 'Elizabeth Banks', 'Beth']", Universal Pictures," Apatow Productions, Universal Pictures", $109.2M,85%,84%,186," Romance, Comedy"," Aug 19, 2005  Wide"," Jul 22, 2015",https://www.rottentomatoes.com/m/40_year_old_virgin
2028,Certified Copy,"While touring Tuscany, Italy, promoting his new book, English author James (William Shimell) meets French store owner Elle (Juliette Binoche), and the two hit it off, deciding to spend a free day together. They travel to a nearby town, get coffee, visit a museum and pretend to be recently married in what turns out to be a popular wedding destination. As these two strangers get to know each other, however, it becomes clear there's more to their new relationship than meets the eye.", English, 1h 46m, Abbas Kiarostami," Marin Karmitz, Nathanaël Karmitz, Charles Gillibert, Angelo Barbagallo", Abbas Kiarostami,"['Juliette Binoche', 'She', 'William Shimell', 'James Miller', 'Jean-Claude Carrière', 'Man', 'Agathe Natanson', 'Woman', 'Gianna Giachetti', 'Cafe Patron', 'Adrian Moore', 'The Son']", IFC Films, RAI Cinema, $1.3M,89%,70%,135," Drama, Romance"," Mar 11, 2011  Limited"," Mar 10, 2017",https://www.rottentomatoes.com/m/certified_copy
2029,My Best Friends Wedding,"Childhood friends Julianne Potter (Julia Roberts) and Michael O'Neal (Dermot Mulroney) had a deal to marry each other if they were still single by age 28. Now, four days before her 28th birthday, O'Neil announces that he's marrying a gorgeous 20-year-old named Kimberly (Cameron Diaz). Suddenly realizing that she's actually in love with him, Julianne vows to stop the wedding at all costs. However, when she is appointed maid of honor, things get even more complex.", English, 1h 45m, P.J. Hogan," Ronald Bass, Jerry Zucker", Ronald Bass,"['Julia Roberts', 'Julianne Potter', 'Dermot Mulroney', ""Michael O'Neal"", 'Cameron Diaz', 'Kimberly Wallace', 'Rupert Everett', 'George Downes', 'Philip Bosco', 'Walter Wallace', 'M. Emmet Walsh', ""Joe O'Neal""]"," TriStar Pictures, Columbia Tristar, Sony Pictures Entertainment", TriStar Pictures, $126.8M,74%,73%,61," Romance, Comedy"," Jun 20, 1997  Original"," Jan 9, 2014",https://www.rottentomatoes.com/m/my_best_friends_wedding
2030,Punchdrunk Love,"Although susceptible to violent outbursts, bathroom supply business owner Barry Egan (Adam Sandler) is a timid and shy man by disposition, leading a lonely, uneventful life -- partly due to the constant berating he suffers from his seven sisters. However, several events transpire that shake up Egan's mundane existence, one of which is falling in love with one sister's co-worker, Lena Leonard (Emily Watson). But the romance is threatened when Egan falls victim to an extortionist.", English, 1h 35m, Paul Thomas Anderson," Paul Thomas Anderson, Daniel Lupi, JoAnne Sellar", Paul Thomas Anderson,"['Adam Sandler', 'Barry Egan', 'Emily Watson', 'Lena Leonard', 'Philip Seymour Hoffman', 'Dean Trumbull', 'Luis Guzmán', 'Lance', 'Mary Lynn Rajskub', 'Elizabeth', 'Rico Buena', 'Rico']", Columbia Pictures," Ghoulardi Film Company, Revolution Films", $17.8M,79%,77%,200," Romance, Comedy"," Oct 11, 2002  Wide"," Dec 15, 2010",https://www.rottentomatoes.com/m/punchdrunk_love
2031,Atonement,"This sweeping English drama, based on the book by Ian McEwan, follows the lives of young lovers Cecilia Tallis (Keira Knightley) and Robbie Turner (James McAvoy). When the couple are torn apart by a lie constructed by Cecilia's jealous younger sister, Briony (Saoirse Ronan), all three of them must deal with the consequences. Robbie is the hardest hit, since Briony's deception results in his imprisonment, but hope for Cecilia and her beau increases when their paths cross during World War II.", English, 2h 3m, Joe Wright," Tim Bevan, Eric Fellner, Paul Webster", Christopher Hampton,"['James McAvoy', 'Robbie Turner', 'Keira Knightley', 'Cecilia Tallis', 'Romola Garai', 'Briony - Age 18', 'Saoirse Ronan', 'Briony - Age 13', 'Brenda Blethyn', 'Grace Turner', 'Vanessa Redgrave', 'Older Briony']", Focus Features, Working Title Films, $50.9M,83%,80%,220," Drama, Romance"," Dec 7, 2007  Limited"," Dec 1, 2015",https://www.rottentomatoes.com/m/atonement
2032,Emma 2020,"Beautiful, smart and wealthy, Emma Woodhouse navigates her way through misguided matches, romantic missteps and the challenges of growing up -- all to finally realize the love that has been there all along.", English (United Kingdom), 2h 5m, Autumn de Wilde," Tim Bevan, Eric Fellner, Graham Broadbent, Peter Czernin", Eleanor Catton,"['Anya Taylor-Joy', 'Emma Woodhouse', 'Johnny Flynn', 'George Knightley', 'Bill Nighy', 'Mr. Woodhouse', 'Mia Goth', 'Harriet Smith', 'Miranda Hart', 'Miss Bates', ""Josh O'Connor"", 'Mr. Elton']", Focus Features," Working Title Films, Perfect World Pictures, Blueprint Pictures", $9.9M,86%,72%,259," Romance, Drama"," Mar 6, 2020  Wide"," Mar 20, 2020",https://www.rottentomatoes.com/m/emma_2020
2033,Adrift 2018,"Tami Oldham and Richard Sharp couldn't anticipate that they would be sailing directly into one of the most catastrophic hurricanes in recorded history. In the aftermath of the storm, Tami awakens to find Richard badly injured and their boat in ruins. With no hope of rescue, Tami must now find the strength and determination to save herself and the only man she has ever loved.", English, 2h 0m, Baltasar Kormákur," Baltasar Kormákur, Aaron Kandell, Jordan Kandell, Shailene Woodley"," Aaron Kandell, Jordan Kandell, David Branson Smith","['Shailene Woodley', 'Tami Oldham', 'Sam Claflin', 'Richard Sharp', 'Jeffrey Thomas', 'Peter Crompton', 'Elizabeth Hawthorne', 'Christine Crompton', 'Grace Palmer', 'Deb', 'Tami Ashcraft', 'Self']", STX Films," Huayi Brothers, Lakeshore Entertainment, RVK Studios, Ingenious Media, STX Entertainment", $31.4M,69%,65%,204," Adventure, Drama, Romance"," Jun 1, 2018  Wide"," Aug 21, 2018",https://www.rottentomatoes.com/m/adrift_2018
