,Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link
826,American Beauty,"Lester Burnham (Kevin Spacey) is a gainfully employed suburban husband and father. Fed up with his boring, stagnant existence, he quits his job and decides to reinvent himself as a pot-smoking, responsibility-shirking teenager. What follows is at once cynical, hysterical, and, eventually, tragically uplifting.", English, 2h 2m, Sam Mendes," Bruce Cohen, Dan Jinks", Alan Ball,"['Kevin Spacey', 'Lester Burnham', 'Annette Bening', 'Carolyn Burnham', 'Thora Birch', 'Jane Burnham', 'Wes Bentley', 'Ricky Fitts', 'Mena Suvari', 'Angela Hayes', 'Peter Gallagher', 'Buddy Kane']", DreamWorks SKG," DreamWorks Pictures, Jinks/Cohen Company", $130.1M,87%,93%,192," Comedy, Drama"," Oct 1, 1999  Wide"," Aug 1, 2013",https://www.rottentomatoes.com/m/american_beauty
827,Scrapper 2023,"This vibrant and inventive father-daughter comedy follows Georgie (Lola Campbell), a resourceful 12-year-old girl who secretly lives alone in her flat in a working class suburb of London following the death of her mother. She makes money stealing bikes with her best friend Ali (Alin Uzun) and keeps the social workers off her back by pretending to live with an uncle. Out of nowhere, her estranged father Jason (Harris Dickinson; Triangle of Sadness, Beach Rats) arrives and forces her to confront reality. Uninterested in this sudden new parental figure, Georgie is stubbornly resistant to his efforts. As they adjust to their new circumstances, Georgie and Jason find that they both still have a lot of growing up to do. Winner of a Grand Jury Prize at the Sundance Film Festival, Scrapper is full of spirit, humor, and formal inventiveness that sets it apart from much of British working-class cinema. Dickinson and remarkable newcomer Campbell imbue irresistible charm into this moving and frequently hilarious story of two emotionally tangled people: a grieving kid thrust into adulthood and a father in over his head.", English, 1h 24m, Charlotte Regan, Theo Barrowclough, Charlotte Regan,"['Lola Campbell', 'Georgie', 'Alin Uzun', 'Ali', 'Harris Dickinson', 'Ambreen Razia', 'Olivia Brady', 'Aylin Tezel']", Kino Lorber," British Film Institute (BFI), DMC Film, BBC Film, Great Point Media", $212.1K,94%,84%,110," Comedy, Drama"," Aug 25, 2023  Limited"," Oct 10, 2023",https://www.rottentomatoes.com/m/scrapper_2023
828,Superbad,"High school seniors Seth and Evan have high hopes for a graduation party. The co-dependent teens plan to score booze and babes so they can become part of the in-crowd, but separation anxiety and two bored police officers complicate the pair's self-proclaimed mission.", English, 1h 53m, Greg Mottola," Judd Apatow, Shauna Robertson"," Seth Rogen, Evan Goldberg","['Jonah Hill', 'Seth', 'Michael Cera', 'Evan', 'Christopher Mintz-Plasse', 'Fogell', 'Bill Hader', 'Officer Slater', 'Seth Rogen', 'Officer Michaels', 'Martha MacIsaac', 'Becca']", Sony Pictures Entertainment," Columbia Pictures, Apatow Productions", $121.5M,88%,87%,208, Comedy," Aug 17, 2007  Wide"," Apr 16, 2012",https://www.rottentomatoes.com/m/superbad
829,The Big Lebowski,"Jeff Bridges plays Jeff Lebowski who insists on being called ""the Dude,"" a laid-back, easygoing burnout who happens to have the same name as a millionaire whose wife owes a lot of dangerous people a whole bunch of money -- resulting in the Dude having his rug soiled, sending him spiraling into the Los Angeles underworld.", English, 1h 57m, Joel Coen, Ethan Coen," Ethan Coen, Joel Coen","['Jeff Bridges', 'Jeff ""The Dude"" Lebowski', 'John Goodman', 'Walter Sobchak', 'Julianne Moore', 'Maude Lebowski', 'Steve Buscemi', 'Donny', 'Peter Stormare', 'Nihilist (Ulee Kunkel)', 'David Huddleston', 'Jeffrey Lebowski']", Gramercy Pictures, PolyGram Filmed Entertainment, $17.4M,80%,93%,191, Comedy," Mar 6, 1998  Wide"," Dec 1, 2015",https://www.rottentomatoes.com/m/the_big_lebowski
830,The Blackening,"The Blackening centers around a group of Black friends who reunite for a Juneteenth weekend getaway only to find themselves trapped in a remote cabin with a twisted killer. Forced to play by his rules, the friends soon realize this ain't no motherfu**in' game. Directed by Tim Story (Ride Along, Think Like A Man, Barbershop) and co-written by Tracy Oliver (Girls Trip, Harlem) and Dewayne Perkins (The Amber Ruffin Show, Brooklyn Nine-Nine), The Blackening skewers genre tropes and poses the sardonic question: if the entire cast of a horror movie is Black, who dies first?", English, 1h 37m, Tim Story," Tim Story, Tracy Oliver, E. Brian Dobbins, Sharla Sumpter Bridge, Jason Clark, Marcei A. Brown"," Dewayne Perkins, Tracy Oliver","['Antoinette Robertson', 'Lisa', 'Dewayne Perkins', 'Dewayne', 'Grace Byers', 'Jermaine Fowler', 'Melvin Gregg', 'X Mayo']", Lionsgate," Universal Studios, Media Rights Capital (MRC), Catchlight Studios, MRC Film, Lionsgate, The Story Company", $17.7M,87%,85%,146," Comedy, Horror"," Jun 16, 2023  Wide"," Jul 7, 2023",https://www.rottentomatoes.com/m/the_blackening
831,Groundhog Day,"Phil (Bill Murray), a weatherman, is out to cover the annual emergence of the groundhog from its hole. He gets caught in a blizzard that he didn't predict and finds himself trapped in a time warp. He is doomed to relive the same day over and over again until he gets it right.", English, 1h 36m, Harold Ramis," Trevor Albert, Harold Ramis"," Danny Rubin, Danny Rubin, Harold Ramis","['Bill Murray', 'Phil Connors', 'Andie MacDowell', 'Rita', 'Chris Elliott', 'Larry', 'Stephen Tobolowsky', 'Ned Ryerson', 'Brian Doyle-Murray', 'Buster Green', 'Marita Geraghty', 'Nancy']", Columbia Pictures, Columbia Pictures, $162.6K,94%,88%,145," Romance, Comedy"," Feb 12, 1993  Wide"," Apr 16, 2012",https://www.rottentomatoes.com/m/groundhog_day
832,1066712-To Die For,"Suzanne Stone (Nicole Kidman) is a weather reporter at her small-town cable station, but she dreams of being a big-time news anchor. However, she feels that her middle-class husband (Matt Dillon) is holding her back, so she decides to have him murdered. For this, she enlists Jimmy (Joaquin Phoenix), a high school boy who is enamored with her. The plan doesn't work exactly as she intended, though, and her husband's family starts to suspect that she was involved in his death.", English, 1h 43m, Gus Van Sant, Laura Ziskin," Joyce Maynard, Buck Henry","['Nicole Kidman', 'Suzanne Stone Maretto', 'Matt Dillon', 'Larry Maretto', 'Joaquin Phoenix', 'Jimmy Emmett', 'Casey Affleck', 'Russel Hines', 'Illeana Douglas', 'Janice Maretto', 'Alison Folland', 'Lydia Mertz']"," Columbia Tristar, Columbia Pictures", Columbia Pictures Corporation, $20.5M,89%,66%,61," Comedy, Drama, Mystery & thriller"," Sep 27, 1995  Original"," May 1, 2013",https://www.rottentomatoes.com/m/1066712-to_die_for
833,School Of Rock,"Overly enthusiastic guitarist Dewey Finn (Jack Black) gets thrown out of his bar band and finds himself in desperate need of work. Posing as a substitute music teacher at an elite private elementary school, he exposes his students to the hard rock gods he idolizes and emulates -- much to the consternation of the uptight principal (Joan Cusack). As he gets his privileged and precocious charges in touch with their inner rock 'n' roll animals, he imagines redemption at a local Battle of the Bands.", English, 1h 48m, Richard Linklater, Scott Rudin, Mike White,"['Jack Black', 'Dewey Finn', 'Joan Cusack', 'Rosalie Mullins', 'Mike White', 'Ned Schneebly', 'Sarah Silverman', 'Patty', 'Jordan-Claire Green', 'Michelle', 'Veronica Afflerbach', 'Eleni']", Paramount Pictures," Paramount Pictures, Scott Rudin Productions", $81.3M,92%,64%,202, Comedy," Oct 3, 2003  Wide"," Aug 1, 2013",https://www.rottentomatoes.com/m/school_of_rock
834,A Simple Favor,"Stephanie is a widowed, single mother who works as a vlogger in Connecticut. Her best friend, Emily, seems to have it all -- a successful career, a loving family and a glamorous lifestyle. When Emily mysteriously disappears one day, Stephanie launches her own investigation by digging into her friend's past -- and finding a few surprises along the way.", English, 1h 57m, Paul Feig," Paul Feig, Jessie Henderson", Jessica Sharzer,"['Anna Kendrick', 'Stephanie Smothers', 'Blake Lively', 'Emily Nelson', 'Henry Golding', 'Sean Townsend', 'Ian Ho', 'Nicky Nelson', 'Joshua Satine', 'Miles Smothers', 'Andrew Rannells', 'Darren']", Lionsgate Films," Lionsgate, Feigco Entertainment", $53.5M,84%,73%,259," Mystery & thriller, Comedy"," Sep 14, 2018  Wide"," Dec 11, 2018",https://www.rottentomatoes.com/m/a_simple_favor
835,The Big Sick,"Kumail is a Pakistani comic, who meets an American graduate student named Emily at one of his stand-up shows. As their relationship blossoms, he soon becomes worried about what his traditional Muslim parents will think of her. When Emily suddenly comes down with an illness that leaves her in a coma, Kumail finds himself developing a bond with her deeply concerned mother and father.", English, 2h 0m, Michael Showalter," Judd Apatow, Barry Mendel"," Emily V. Gordon, Kumail Nanjiani","['Kumail Nanjiani', 'Kumail', 'Zoe Kazan', 'Emily', 'Holly Hunter', 'Beth', 'Ray Romano', 'Terry', 'Anupam Kher', 'Azmat', 'Zenobia Shroff', 'Sharmeen']"," Amazon Studios, Lionsgate Films"," Apatow Films, FilmNation", $42.9M,98%,88%,308," Romance, Comedy"," Jul 14, 2017  Wide"," Jul 10, 2017",https://www.rottentomatoes.com/m/the_big_sick
