Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link,All Genres
Steep,"This documentary tracks the history of extreme skiing, from its advent in the 1960s through its development into a popular modern sport. The story begins with legendary skier Bill Briggs descending Wyoming's Grand Teton Mountain and continues with the extraordinary feats of skiing pioneer Doug Coombs and others. Including incredible and beautiful footage from various remote ski locations in Canada, Alaska and Iceland, the film also features narration by actor Peter Krause.",Eng,90,Mark Obenhaus,"Jordan Kronick, Gabrielle Tenenbaum",Mark Obenhaus,"['Ingrid Backstrom', 'Anselme Baud', 'Bill Briggs', 'Doug Coombs', 'Chris Davenport', 'Stefano De Benedetti']",Sony Pictures Classics,High Ground Productions,259800.0,0.54,0.69,48,Documentary,"Dec 21, 2007  Limited","Jan 1, 2012",https://www.rottentomatoes.com/m/steep,Documentary
America Imagine The World Without Her 2014,"Political commentator, author and filmmaker Dinesh D'Souza puts forth the notion that America's history is being replaced by another version in which plunder and exploitation are the defining characteristics. D'Souza also posits that the way the country understands the past will determine the future. Using historic re-enactments, D'Souza explores the lives and sacrifices of some of America's greatest heroes, including George Washington and Frederick Douglass.",Eng,103,"John Sullivan, Dinesh D'Souza","Gerald Molen, John Sullivan","Dinesh D'Souza, John Sullivan","['John Sullivan', 'Director', ""Dinesh D'Souza"", 'Director', ""Dinesh D'Souza"", 'Screenwriter', 'John Sullivan', 'Screenwriter', 'Gerald Molen', 'Producer', 'John Sullivan', 'Producer']",Lionsgate Films,Americafilm LLC,14400000.0,0.08,0.84,25,Documentary,"Jul 2, 2014  Wide","Apr 26, 2016",https://www.rottentomatoes.com/m/america_imagine_the_world_without_her_2014,Documentary
No Safe Spaces,Filmmaker Justin Folk examines free speech in America.,Eng,95,Justin Folk,"Owen Brennan, Justin Folk, Mark Joseph, Robert J. Moeller, Bob Perkins, Richard Gerald Reed",John Sullivan,"['Justin Folk', 'Director', 'John Sullivan', 'Writer', 'Owen Brennan', 'Producer', 'Justin Folk', 'Producer', 'Mark Joseph', 'Producer', 'Robert J. Moeller', 'Producer']",Atlas Distribution Company,"MJM Entertainment Group, Madison McQueen, Hashtag Productions, Dangerous Documentaries",1300000.0,0.47,0.98,17,Documentary,"Oct 25, 2019  Limited","Sep 15, 2020",https://www.rottentomatoes.com/m/no_safe_spaces,Documentary
Justin Biebers Believe,"Filmmaker Jon M. Chu moves beyond the spotlight and the attention-grabbing headlines to give pop superstar Justin Bieber a chance to tell his own story. New interviews with the teenage phenomenon reveal long-awaited answers about his passion for making music, his relationships, and coming of age in the public eye. Chu also includes new concert footage, behind-the-scenes access, and special appearances by manager Scooter Braun, and singers Usher, Ludacris and others.",Eng,91,Jon M. Chu,"Justin Bieber, Scooter Braun",Sarah Landman,"['Justin Bieber', 'Scooter Braun', 'Ryan Good', 'Usher', 'Pattie Mallette', 'Jeremy Bieber']",Open Road,"Bieber Time Films, Filmax, Scooter Braun Films",889800.0,0.53,0.59,15,Documentary,"Dec 25, 2013  Wide","Jul 21, 2015",https://www.rottentomatoes.com/m/justin_biebers_believe,"Documentary, Music"
Scatter My Ashes At Bergdorfs,"Giorgio Armani, Candice Bergen, Manolo Blahnik, Isaac Mizrahi and others offer a peek behind the backroom doors and into the inner workings of the iconic Manhattan department store.",Eng,93,Matthew Miele,Mallory Andrews,Matthew Miele,"['William Fichtner', 'Narrator', 'Candice Bergen', 'Ashley Olsen', 'Tom Ford', 'Nicole Richie', 'Matthew Miele', 'Director']",Entertainment One,Quixotic Endeavors,516700.00000000006,0.48,0.42,46,Documentary,"May 3, 2013  Limited","May 30, 2016",https://www.rottentomatoes.com/m/scatter_my_ashes_at_bergdorfs,Documentary
This Changes Everything 2015,Filmmaker Avi Lewis examines the challenges of climate change and how environmental activists make a difference worldwide.,Eng,89,Avi Lewis,"Joslyn Barnes, Avi Lewis",Naomi Klein,"['Naomi Klein', 'Narrator', 'Stacey Arwen Raab', 'Avi Lewis', 'Director', 'Naomi Klein', 'Writer', 'Alfonso Cuarón', 'Executive Producer', 'Jodie Evans', 'Executive Producer']",FilmBuff,"Louverture Films, Klein Lewis Productions",12700.0,0.56,0.47,18,Documentary,"Oct 20, 2015  Limited","Nov 8, 2016",https://www.rottentomatoes.com/m/this_changes_everything_2015,Documentary
Where In The World Is Osama Bin Laden,"Filmmaker Morgan Spurlock tours the Middle East in a quest to better understand the area, which spawned one of the world's worst criminals.",Eng,93,Morgan Spurlock,"François Bringer, Jeremy Chilnick","Jeremy Chilnick, Morgan Spurlock","['Morgan Spurlock', 'Self', 'Alexandra Jamieson', 'Self', 'Daryl Isaacs', 'Self', 'Morgan Spurlock', 'Director', 'Jeremy Chilnick', 'Writer', 'Morgan Spurlock', 'Writer']",Weinstein Co.,"Wild Bunch, Warrior Poets, Non-Linnear Films",381200.0,0.38,0.52,107,Documentary,"Apr 18, 2008  Limited","Aug 10, 2016",https://www.rottentomatoes.com/m/where_in_the_world_is_osama_bin_laden,Documentary
Hare Krishna The Mantra The Movement And The Swami Who Started It All 2017,"An exploration of the life and philosophy of Srila Prabhupada, the controversial Indian swami whose teachings sparked a movement now known as Hare Krishna.",Eng,91,"John Griesser, Jean Griesser, Lauren Ross","Jessica Heinrich, Priiya Nair, Lauren Ross, Rohit K. Shetty, Coralie Tapper","Mukunda Michael Dewil, Jean Griesser","['Joshua M. Greene', 'Gaura Vani Buchwald', 'Bhismadeva Das', 'John Griesser', 'Director', 'Jean Griesser', 'Director', 'Lauren Ross', 'Director']",Abramorama,Inner Voice Productions,78000.0,0.2,0.95,10,Documentary,"Jun 16, 2017  Limited","Sep 10, 2018",https://www.rottentomatoes.com/m/hare_krishna_the_mantra_the_movement_and_the_swami_who_started_it_all_2017,Documentary
Noma My Perfect Storm,"Located in Copenhagen, Denmark, renowned chef René Redzepi reinvents his restaurant, Noma, to make it the best in the world.",Eng,95,Pierre Deschamps,Etta Deschamps Thompson,Pierre Deschamps,"['Claus Meyer', 'Paul Cunningham', 'Ferran Adrià', 'Tor Nørretranders', 'Matt Goulding', 'René Redzepi']",Magnolia Pictures,Documentree Films,21100.0,0.57,0.42,21,Documentary,"Dec 18, 2015  Limited","Mar 22, 2017",https://www.rottentomatoes.com/m/noma_my_perfect_storm,Documentary
South Of The Border,"Filmmaker Oliver Stone interviews Venezuela's Hugo Chávez, Brazil's Lula da Silva and other leaders, in an examination of social and political movements in South America.",Eng,78,Oliver Stone,"José Ibáñez, Fernando Sulichin, Robert S. Wilson","Mark Weisbrot, Tariq Ali","['Tariq Ali', 'Raul Castro', 'Hugo Chavez', 'Rafael Correa', 'Luiz Inácio Lula da Silva', 'Néstor Kirchner']",Cinema Libre Studio,"New Element Productions, Good Apple Productions, Muse Productions, Ixtlan Corporation, Pentagrama Films",166600.0,0.54,0.69,56,Documentary,"Jun 25, 2010  Limited","Mar 8, 2017",https://www.rottentomatoes.com/m/south_of_the_border,Documentary
