Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link,All Genres
Taken 2 2012,"Two years ago, retired CIA agent Bryan Mills (Liam Neeson) used his ""particular set of skills"" to rescue his daughter, Kim (Maggie Grace), from kidnappers. Since then, Kim has been learning self-defense from her father, and Bryan has been on a personal mission to reunite with his ex-wife (Famke Janssen). In Istanbul, Bryan and his family cross paths with Murad (Rade Serbedzija), whose son died at Bryan's hand during Kim's rescue. Murad wants revenge, and he'll stop at nothing to get it.",Eng,92,Olivier Megaton,Luc Besson,"Luc Besson, Robert Mark Kamen","['Liam Neeson', 'Bryan Mills', 'Maggie Grace', 'Kim', 'Famke Janssen', 'Lenore', 'Rade Serbedzija', 'Murad Krasniqi', 'Leland Orser', 'Sam', 'Jon Gries', 'Casey']",20th Century Fox,"EuropaCorp, Grive Productions, M6 Films Production",139900000.0,0.22,0.52,173,Action,"Oct 5, 2012  Wide","Aug 1, 2014",https://www.rottentomatoes.com/m/taken_2_2012,"Action, Mystery & thriller"
Van Helsing,"Famed monster slayer Gabriel Van Helsing (Hugh Jackman) is dispatched to Transylvania to assist the last of the Valerious bloodline in defeating Count Dracula (Richard Roxburgh). Anna Valerious (Kate Beckinsale) reveals that Dracula has formed an unholy alliance with Dr. Frankenstein's monster (Shuler Hensley) and is hell-bent on exacting a centuries-old curse on her family. Together Anna and Van Helsing set out to destroy their common enemy, but uncover some unsettling secrets along the way.",Eng,132,Stephen Sommers,"Stephen Sommers, Bob Ducsay",Stephen Sommers,"['Hugh Jackman', 'Gabriel Van Helsing', 'Kate Beckinsale', 'Anna Valerious', 'Richard Roxburgh', 'Count Vladislaus Dracula', 'David Wenham', 'Carl', 'Shuler Hensley', ""Frankenstein's Monster"", 'Elena Anaya', 'Aleera']",Universal Pictures,"Universal Pictures, The Sommers Company, Carpathian Pictures",120000000.0,0.24,0.57,224,Fantasy,"May 3, 2004  Wide","Apr 19, 2016",https://www.rottentomatoes.com/m/van_helsing,"Fantasy, Adventure, Action"
Knight And Day,"June Havens (Cameron Diaz) chats up her charming seatmate on a flight out of Kansas, but she doesn't realize that she will soon land in the middle of an international adventure. The fellow passenger, Roy Miller (Tom Cruise), is a covert operative who claims he has been set up to take a fall. Now his reluctant partner, June must dodge bullets in Boston, leap rooftops in Austria and evade bulls in Spain, while she and Roy learn that trust is the most important survival skill.",Eng,109,James Mangold,"Cathy Konrad, Steve Pink, Todd Garner",Patrick O'Neill,"['Tom Cruise', 'Roy Miller', 'Cameron Diaz', 'June Havens', 'Peter Sarsgaard', 'Fitzgerald', 'Jordi Mollà', 'Antonio', 'Viola Davis', 'Director George', 'Paul Dano', 'Simon Feck']",20th Century Fox,"Pink Machine, Tree Line, Todd Garner",76400000.0,0.52,0.49,234,Action,"Jun 23, 2010  Wide","Mar 1, 2013",https://www.rottentomatoes.com/m/knight_and_day,"Action, Comedy"
Muzzle,A Los Angeles police officer and his K-9 partner try to uncover a vast conspiracy that has a chokehold on the city.,Eng,96,John Stalberg Jr.,"David Frigerio, John Stalberg Jr., Ford Corbett, Tim O'Hair, B.D. Gunnell, Nathan Klingher, Ryan Winterstern",Carlyle Eubank,"['Aaron Eckhart', 'Jake Rosser', 'Stephen Lang', 'Leland', 'Diego Tinoco', 'Hernandez', 'Penelope Mitchell', 'Mia', 'Nick Searcy', 'Captain Freeman', 'Grainger Hines', 'Aldo Damon']",RLJE Films,"Broken Open Pictures, Highland Film Group (HFG), Slow Burn, Studio 507",5000.0,0.36,0.69,11,Action,"Sep 29, 2023  Limited","Sep 29, 2023",https://www.rottentomatoes.com/m/muzzle,"Action, Crime, Drama"
Transcendence 2014,"Dr. Will Caster (Johnny Depp), the world's foremost authority on artificial intelligence, is conducting highly controversial experiments to create a sentient machine. When extremists try to kill the doctor, they inadvertently become the catalyst for him to succeed. Will's wife, Evelyn (Rebecca Hall), and best friend, Max (Paul Bettany), can only watch as his thirst for knowledge evolves to an omnipresent quest for power, and his loved ones soon realize that it may be impossible to stop him.",Eng,119,Wally Pfister,"Andrew A. Kosove, Broderick Johnson, Kate Cohen, Marisa Polvino, Annie Marter, David Valdes, Aaron Ryder",Jack Paglen,"['Johnny Depp', 'Will Caster', 'Rebecca Hall', 'Evelyn Caster', 'Paul Bettany', 'Max Waters', 'Cillian Murphy', 'Agent Buchanan', 'Kate Mara', 'Bree', 'Cole Hauser', 'Col. Hauser']",Warner Bros. Pictures,"Straight Up Films, DMG Entertainment, Alcon Entertainment",23000000.0,0.19,0.37,229,Sci-fi,"Apr 18, 2014  Wide","Dec 14, 2015",https://www.rottentomatoes.com/m/transcendence_2014,"Sci-fi, Action, Mystery & thriller"
The Old Way,"Academy Award® winner Nicolas Cage stars in his first-ever Western as Colton Briggs, a cold-blooded gunslinger turned respectable family man. When an outlaw and his gang put Colton and his family in peril, Colton is forced to take up arms with an unlikely partner -- his 12-year-old daughter (Ryan Kiera Armstrong) -- in this action-filled film that builds toward its fateful showdown with pulse-pounding suspense.",Eng,95,Brett Donowho,"Brett Donowho, Micah Haley, Robert Paschall Jr., R. Bryan Wright, Sasha Yelaun",Carl W. Lucas,"['Nicolas Cage', 'Colton Briggs', 'Ryan Kiera Armstrong', 'Brooke', 'Clint Howard', 'Eustice', 'Abraham Benrubi', 'Big Mike', 'Nick Searcy', 'Marshal Jarret', 'Noah Le Gros', 'James McCallister']",Saban Films,"E1 Entertainment, EchoWolf Productions, Intercut Capital, Tri-Fold Pictures, Saturn Films, Capstone Studios",365000.0,0.32,0.7,59,Western,"Jan 6, 2023  Limited","Jan 13, 2023",https://www.rottentomatoes.com/m/the_old_way,"Western, Action"
Jupiter Ascending 2014,"Jupiter Jones (Mila Kunis) was born under signs that predicted future greatness, but her reality as a woman consists of cleaning other people's houses and endless bad breaks. Caine (Channing Tatum), a genetically engineered hunter, arrives on Earth to locate her, making Jupiter finally aware of the great destiny that awaits her: Jupiter's genetic signature marks her as the next in line for an extraordinary inheritance that could alter the balance of the cosmos.",Eng,127,"Lilly Wachowski, Lana Wachowski","Grant Hill, Lilly Wachowski, Lana Wachowski","Lilly Wachowski, Lana Wachowski","['Channing Tatum', 'Caine Wise', 'Mila Kunis', 'Jupiter Jones', 'Sean Bean', 'Stinger Apini', 'Eddie Redmayne', 'Balem Abrasax', 'Douglas Booth', 'Titus Abrasax', 'Tuppence Middleton', 'Kalique Abrasax']",Warner Bros. Pictures,Anarchos Productions Inc.,47400000.0,0.28,0.38,277,Sci-fi,"Feb 6, 2015  Wide","Jun 28, 2016",https://www.rottentomatoes.com/m/jupiter_ascending_2014,"Sci-fi, Action, Adventure"
Lost World Jurassic Park,"John Hammond (Richard Attenborough) summons chaos theorist Ian Malcolm (Jeff Goldblum) to his home with some startling information -- while nearly everything at his Jurassic Park had been destroyed, his engineers happened to have a second site, where other dinosaurs were kept in hiding. It seems the dinosaurs on the second island are alive and well and even breeding; and Hammond wants Malcolm to observe and document the reptiles before Hammond's financiers can get to them.",Eng,134,Steven Spielberg,"Gerald R. Molen, Colin Wilson","Michael Crichton, David Koepp","['Jeff Goldblum', 'Dr. Ian Malcolm', 'Julianne Moore', 'Dr. Sarah Harding', 'Pete Postlethwaite', 'Roland Tembo', 'Arliss Howard', 'Peter Ludlow', 'Richard Attenborough', 'John Hammond', 'Vince Vaughn', 'Nick Van Owen']",Universal Pictures,"Universal Pictures, Amblin Entertainment",229100000.0,0.54,0.51,83,Adventure,"May 23, 1997  Wide","Jul 22, 2015",https://www.rottentomatoes.com/m/lost_world_jurassic_park,"Adventure, Action, Sci-fi, Mystery & thriller"
Homefront,"Hoping to escape from his troubled past, former DEA agent Phil Broker (Jason Statham) moves to a seemingly quiet backwater town in the bayou with his daughter. However, he finds anything but quiet there, for the town is riddled with drugs and violence. When Gator Bodine (James Franco), a sociopathic druglord, puts the newcomer and his young daughter in harm's way, Broker is forced back into action to save her and their home. Based on a novel by Chuck Logan.",Eng,100,Gary Fleder,"Sylvester Stallone, Kevin King Templeton, John Thompson",Sylvester Stallone,"['Jason Statham', 'Phil Broker', 'James Franco', 'Gator', 'Winona Ryder', 'Sheryl Mott', 'Kate Bosworth', 'Mrs. Klum', 'Frank Grillo', 'Cyrus Hanks', 'Izabela Vidovic', 'Maddy']",Open Road,"Endgame Entertainment, Millennium Films",20100000.0,0.42,0.61,117,Action,"Nov 27, 2013  Wide","May 13, 2014",https://www.rottentomatoes.com/m/homefront,"Action, Mystery & thriller"
After Earth,"People were forced to leave Earth a millennium ago to establish a new home on Nova Prime. Now, Gen. Cypher Raige (Will Smith) heads Nova Prime's most-prominent family. Cypher's teenage son, Kitai (Jaden Smith), feels enormous pressure to follow in his father's legendary footsteps -- which strains their relationship. Cypher and Kitai set out on a trip to mend their bond, but when their craft crashes on Earth's hostile surface, each must trust the other greatly -- or perish.",Eng,100,M. Night Shyamalan,"Caleeb Pinkett, Jada Pinkett Smith, Will Smith, James Lassiter, M. Night Shyamalan","Gary Whitta, M. Night Shyamalan","['Jaden Smith', 'Kitai Raige', 'Will Smith', 'Cypher Raige', 'Sophie Okonedo', 'Faia Raige', 'Zoë Kravitz', 'Senshi Raige', 'Glenn Morshower', 'Commander Velan', 'Kristofer Hivju', 'Security Chief']",Sony Pictures Entertainment,"Relativity Media, Overbrook Entertainment, Columbia Pictures, Blinding Edge Pictures",60500000.0,0.12,0.36,213,Sci-fi,"May 31, 2013  Wide","Sep 24, 2013",https://www.rottentomatoes.com/m/after_earth,"Sci-fi, Adventure, Action"
Baywatch 2017,"When a dangerous crime wave hits the beach, the legendary Mitch Buchannon leads his elite squad of lifeguards on a mission to prove that you don't have to wear a badge to save the bay. Joined by a trio of hotshot recruits, including former Olympian Matt Brody, they ditch the surf and go deep under cover to take down a ruthless businesswoman whose devious plans threaten the future of the bay.",Eng,116,Seth Gordon,"Michael Berk, Douglas Schwartz, Gregory J. Bonann, Beau Flynn, Ivan Reitman","Damian Shannon, Mark Swift","['Dwayne Johnson', 'Mitch Buchannon', 'Zac Efron', 'Matt Brody', 'Priyanka Chopra Jonas', 'Victoria Leeds', 'Alexandra Daddario', 'Summer Quinn', 'Kelly Rohrbach', 'C.J. Parker', 'Jon Bass', 'Ronnie Greenbaum']",Paramount Pictures,"Cold Spring Pictures, Paramount Pictures, Seven Bucks Productions, Contrafilm",58000000.0,0.17,0.58,245,Comedy,"May 25, 2017  Wide","Jul 10, 2017",https://www.rottentomatoes.com/m/baywatch_2017,"Comedy, Action"
Terminator Genisys,"When John Connor (Jason Clarke), leader of the human resistance against Skynet, sends Kyle Reese (Jai Courtney) back to 1984 to protect his mother, Sarah (Emilia Clarke), from a Terminator assassin, an unexpected turn of events creates an altered timeline. Instead of a scared waitress, Sarah is a skilled fighter and has a Terminator guardian (Arnold Schwarzenegger) by her side. Faced with unlikely allies and dangerous new enemies, Reese sets out on an unexpected new mission: reset the future.",Eng,126,Alan Taylor,"David Ellison, Dana Goldberg","Laeta Kalogridis, Patrick Lussier","['Arnold Schwarzenegger', 'Guardian', 'Jason Clarke', 'John Connor', 'Emilia Clarke', 'Sarah Connor', 'Jai Courtney', 'Kyle Reese', 'J.K. Simmons', ""O'Brien"", 'Dayo Okeniyi', 'Danny Dyson']",Paramount Pictures,Skydance Productions,89800000.0,0.26,0.52,279,Sci-fi,"Jul 1, 2015  Wide","Jun 7, 2016",https://www.rottentomatoes.com/m/terminator_genisys,"Sci-fi, Action"
Were The Millers,"Small-time pot dealer David (Jason Sudeikis) learns the hard way that no good deed goes unpunished; trying to help some teens, he is jumped by thugs and loses his cash and stash. Now, David's in big debt to his supplier and -- to wipe the slate clean -- he must go to Mexico to pick up the guy's latest shipment. To accomplish his mission, Dave devises a foolproof plan: He packs a fake family into a huge RV and heads south of the border for a wild weekend that is sure to end with a bang.",Eng,110,Rawson Marshall Thurber,"Vincent Newman, Tucker Tooley, Happy Walters, Chris Bender","Bob Fisher, Steve Faber, Sean Anders, John Morris","['Jennifer Aniston', 'Rose', 'Jason Sudeikis', 'David', 'Will Poulter', 'Kenny', 'Emma Roberts', 'Casey', 'Ed Helms', 'Brad Gurdlinger', 'Nick Offerman', 'Don Fitzgerald']",Warner Bros. Pictures,"Benderspink, Newman/Tooley Films, Heyday Films, Slap Happy Productions",150400000.0,0.48,0.76,159,Comedy,"Aug 7, 2013  Wide","Nov 5, 2013",https://www.rottentomatoes.com/m/were_the_millers,"Comedy, Action"
Taken 3,"Ex-covert operative Bryan Mills (Liam Neeson) and his ex-wife, Lenore (Famke Janssen), are enjoying a reconciliation when Lenore is brutally murdered. Bryan is framed for the crime and flees, with the CIA, FBI and police all in hot pursuit. For the last time, he channels his rage and particular set of skills into hunting down Lenore's real killers, taking his revenge and protecting the one important thing left in his life: his daughter, Kim (Maggie Grace).",Eng,109,Olivier Megaton,Luc Besson,"Luc Besson, Robert Mark Kamen","['Liam Neeson', 'Bryan Mills', 'Forest Whitaker', 'Inspector Frank Dotzler', 'Maggie Grace', 'Kim', 'Famke Janssen', 'Lenore', 'Dougray Scott', 'Stuart St. John', 'Sam Spruell', 'Oleg Malankov']",20th Century Fox,"EuropaCorp, M6 Films Production, Canal Plus",89300000.0,0.13,0.43,124,Action,"Jan 9, 2015  Wide","Oct 1, 2016",https://www.rottentomatoes.com/m/taken_3,"Action, Mystery & thriller"
The Creator 2023,"From writer/director Gareth Edwards (""Rogue One,"" ""Godzilla"") comes an epic sci-fi action thriller set amidst a future war between the human race and the forces of artificial intelligence. Joshua (John David Washington, ""Tenet""), a hardened ex-special forces agent grieving the disappearance of his wife (Gemma Chan, ""Eternals""), is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war... and mankind itself. Joshua and his team of elite operatives journey across enemy lines, into the dark heart of AI-occupied territory... only to discover the world-ending weapon he's been instructed to destroy is an AI in the form of a young child (newcomer Madeleine Yuna Voyles).",Eng,133,Gareth Edwards,"Gareth Edwards, Kiri Hart, Jim Spencer, Arnon Milchan","Gareth Edwards, Chris Weitz","['John David Washington', 'Joshua', 'Gemma Chan', 'Maya', 'Ken Watanabe', 'Harun', 'Sturgill Simpson', 'Drew', 'Madeleine Yuna Voyles', 'Alphie', 'Allison Janney', 'Colonel Howell']",20th Century Studios,"Entertainment One, New Regency Productions, 20th Century Studios",40800000.0,0.66,0.76,316,Sci-fi,"Sep 29, 2023  Wide","Nov 14, 2023",https://www.rottentomatoes.com/m/the_creator_2023,"Sci-fi, Action, Adventure"
Mission Impossible Dead Reckoning Part One,"In Mission: Impossible - Dead Reckoning Part One, Ethan Hunt (Tom Cruise) and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the fate of the world at stake, and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan is forced to consider that nothing can matter more than his mission -- not even the lives of those he cares about most.",Eng,163,Christopher McQuarrie,"Tom Cruise, Christopher McQuarrie, Leifur B. Dagfinnsson","Christopher McQuarrie, Erik Jendresen","['Tom Cruise', 'Ethan Hunt', 'Hayley Atwell', 'Grace', 'Ving Rhames', 'Luther Stickell', 'Simon Pegg', 'Benji Dunn', 'Rebecca Ferguson', 'Ilsa Faust', 'Vanessa Kirby', 'The White Widow']",Paramount Pictures,"Paramount Pictures, Skydance Media, Tom Cruise",172000000.0,0.96,0.94,430,Action,"Jul 12, 2023  Wide","Oct 10, 2023",https://www.rottentomatoes.com/m/mission_impossible_dead_reckoning_part_one,"Action, Adventure, Mystery & thriller"
The Marvels,"Carol Danvers aka Captain Marvel has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan, Kamala Khan aka Ms. Marvel, and Carol's estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team-up and learn to work in concert to save the universe as ""The Marvels.""",Eng,105,Nia DaCosta,Kevin Feige,"Nia DaCosta, Megan McDonnell, Elissa Karasik","['Brie Larson', 'Carol Danvers, Captain Marvel', 'Teyonah Parris', 'Monica Rambeau', 'Iman Vellani', 'Kamala Khan, Ms. Marvel', 'Samuel L. Jackson', 'Nick Fury', 'Zawe Ashton', 'Dar-Benn', 'Park Seo-joon', 'Prince Yan']",Walt Disney Pictures,"Marvel Studios, Disney+",84500000.0,0.62,0.82,351,Action,"Nov 10, 2023  Wide","Jan 16, 2024",https://www.rottentomatoes.com/m/the_marvels,"Action, Adventure, Fantasy"
The Hunger Games The Ballad Of Songbirds And Snakes,"Experience the story of THE HUNGER GAMES -- 64 years before Katniss Everdeen volunteered as tribute, and decades before Coriolanus Snow became the tyrannical President of Panem. THE HUNGER GAMES: THE BALLAD OF SONGBIRDS & SNAKES follows a young Coriolanus (Tom Blyth) who is the last hope for his failing lineage, the once-proud Snow family that has fallen from grace in a post-war Capitol. With his livelihood threatened, Snow is reluctantly assigned to mentor Lucy Gray Baird (Rachel Zegler), a tribute from the impoverished District 12. But after Lucy Gray's charm captivates the audience of Panem, Snow sees an opportunity to shift their fates. With everything he has worked for hanging in the balance, Snow unites with Lucy Gray to turn the odds in their favor. Battling his instincts for both good and evil, Snow sets out on a race against time to survive and reveal if he will ultimately become a songbird or a snake.",Eng,157,Francis Lawrence,"Nina Jacobson, Brad Simpson, Francis Lawrence","Michael Arndt, Michael Lesslie","['Tom Blyth', 'Coriolanus Snow', 'Rachel Zegler', 'Lucy Gray Baird', 'Peter Dinklage', 'Casca Highbottom', 'Jason Schwartzman', 'Lucretius ""Lucky"" Flickerman', 'Hunter Schafer', 'Tigris Snow', 'Josh Andrés Rivera', 'Sejanus Plinth']",Lionsgate,Color Force,166300000.0,0.64,0.89,233,Action,"Nov 17, 2023  Wide","Dec 19, 2023",https://www.rottentomatoes.com/m/the_hunger_games_the_ballad_of_songbirds_and_snakes,"Action, Adventure, Sci-fi"
Dune 2021,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence, only those who can conquer their own fear will survive.",Eng,155,Denis Villeneuve,"Denis Villeneuve, Mary Parent, Cale Boyter, Joseph Caracciolo Jr.","Jon Spaihts, Denis Villeneuve, Eric Roth","['Timothée Chalamet', 'Paul Atreides', 'Rebecca Ferguson', 'Lady Jessica', 'Oscar Isaac', 'Duke Leto Atreides', 'Josh Brolin', 'Gurney Halleck', 'Stellan Skarsgård', 'Baron Vladimir Harkonnen', 'Jason Momoa', 'Duncan Idaho']",Warner Bros. Pictures,"Legendary Pictures, Warner Bros., Villeneuve Films",108300000.0,0.83,0.9,509,Sci-fi,"Oct 22, 2021  Wide","Oct 22, 2021",https://www.rottentomatoes.com/m/dune_2021,"Sci-fi, Adventure, Action, Fantasy, Drama"
Indiana Jones And The Dial Of Destiny,"Daredevil archaeologist Indiana Jones races against time to retrieve a legendary dial that can change the course of history. Accompanied by his goddaughter, he soon finds himself squaring off against Jürgen Voller, a former Nazi who works for NASA.",Eng,144,James Mangold,"Kathleen Kennedy, Frank Marshall, Simon Emanuel","Jez Butterworth, John-Henry Butterworth, David Koepp, James Mangold","['Harrison Ford', 'Indiana Jones', 'Phoebe Waller-Bridge', 'Helena', 'Antonio Banderas', 'Renaldo', 'John Rhys-Davies', 'Sallah', 'Shaunette Renée Wilson', 'Mason', 'Thomas Kretschmann', 'Colonel Weber']",Walt Disney Pictures,"Paramount Pictures, Walt Disney Pictures, Lucasfilm Ltd.",174500000.0,0.7,0.88,419,Adventure,"Jun 30, 2023  Wide","Aug 29, 2023",https://www.rottentomatoes.com/m/indiana_jones_and_the_dial_of_destiny,"Adventure, Action"
The Equalizer 3,"Since giving up his life as a government assassin, Robert McCall (Denzel Washington) has struggled to reconcile the horrific things he's done in the past and finds a strange solace in serving justice on behalf of the oppressed. Finding himself surprisingly at home in Southern Italy, he discovers his new friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",Eng,109,Antoine Fuqua,"Todd Black, Jason Blumenthal, Denzel Washington, Antoine Fuqua, Steve Tisch, Clayton Townsend, Alex Siskin, Tony Eldridge, Michael Sloan",Richard Wenk,"['Denzel Washington', 'Robert McCall', 'Dakota Fanning', 'Emma Collins', 'David Denman', 'Frank Conroy', 'Eugenio Mastrandrea', 'Gio Bonucci', 'Gaia Scodellaro', 'Aminah', 'Remo Girone', 'Enzo Arisio']",Columbia Pictures,"TSG Entertainment, Sony Pictures, Columbia Pictures, Zhiv, Escape Artists, Eagle Pictures",92300000.0,0.76,0.94,167,Action,"Sep 1, 2023  Wide","Oct 3, 2023",https://www.rottentomatoes.com/m/the_equalizer_3,"Action, Mystery & thriller"
The Lost City,"Reclusive author Loretta Sage writes about exotic places in her popular adventure novels that feature a handsome cover model named Alan. While on tour promoting her new book with Alan, Loretta gets kidnapped by an eccentric billionaire who hopes she can lead him to an ancient city's lost treasure from her latest story. Determined to prove he can be a hero in real life and not just on the pages of her books, Alan sets off to rescue her.",Eng,112,"Adam Nee, Aaron Nee","Liza Chasin, Sandra Bullock, Seth Gordon","Oren Uziel, Dana Fox, Adam Nee, Aaron Nee","['Sandra Bullock', 'Loretta, Angela', 'Channing Tatum', 'Alan, Dash', 'Daniel Radcliffe', 'Abigail Fairfax', ""Da'Vine Joy Randolph"", 'Beth Hatten', 'Oscar Nunez', 'Oscar', 'Patti Harrison', 'Allison']",Paramount Pictures,"Fortis Films, Exhibit A Pictures, 3dot productions",104900000.0,0.79,0.83,273,Romance,"Mar 25, 2022  Wide","May 10, 2022",https://www.rottentomatoes.com/m/the_lost_city,"Romance, Comedy, Adventure, Action"
Gran Turismo Based On A True Story,"Based on the true story of Jann Mardenborough, the film is the ultimate wish fulfillment tale of a teenage Gran Turismo player whose gaming skills won a series of Nissan competitions to become an actual professional racecar driver.",Eng,135,Neill Blomkamp,"Doug Belgrad, Asad Qizilbash, Carter Swan, Dana Brunetti","Jason Hall, Zach Baylin","['David Harbour', 'Jack Salter', 'Orlando Bloom', 'Danny Moore', 'Archie Madekwe', 'Jann Mardenborough', 'Darren Barnet', 'Matty Davis', 'Geri Halliwell', 'Lesley Mardenborough', 'Djimon Hounsou', 'Steve Mardenborough']",Columbia Pictures,"Marzano Films, TSG Entertainment, Michael De Luca Productions, Trigger Street Productions, PlayStation Productions, Columbia Pictures, Sony Pictures, 2.0 Entertainment",44200000.0,0.65,0.98,227,Action,"Aug 25, 2023  Wide","Sep 26, 2023",https://www.rottentomatoes.com/m/gran_turismo_based_on_a_true_story,"Action, Drama"
Interstellar 2014,"In Earth's future, a global crop blight and second Dust Bowl are slowly rendering the planet uninhabitable. Professor Brand (Michael Caine), a brilliant NASA physicist, is working on plans to save mankind by transporting Earth's population to a new home via a wormhole. But first, Brand must send former NASA pilot Cooper (Matthew McConaughey) and a team of researchers through the wormhole and across the galaxy to find out which of three planets could be mankind's new home.",Eng,165,Christopher Nolan,"Emma Thomas, Christopher Nolan, Lynda Obst","Jonathan Nolan, Christopher Nolan","['Matthew McConaughey', 'Cooper', 'Anne Hathaway', 'Amelia Brand', 'Jessica Chastain', 'Murph', 'Michael Caine', 'Professor Brand', 'Bill Irwin', 'TARS Voice', 'Ellen Burstyn', 'Old Murph']",Paramount Pictures,"Syncopy, Lynda Obst Productions",188000000.0,0.73,0.86,379,Sci-fi,"Nov 7, 2014  Wide","May 24, 2016",https://www.rottentomatoes.com/m/interstellar_2014,"Sci-fi, Adventure, Action"
The Batman,"Batman ventures into Gotham City's underworld when a sadistic killer leaves behind a trail of cryptic clues. As the evidence begins to lead closer to home and the scale of the perpetrator's plans become clear, he must forge new relationships, unmask the culprit and bring justice to the abuse of power and corruption that has long plagued the metropolis.",Eng,176,Matt Reeves,"Dylan Clark, Matt Reeves","Matt Reeves, Peter Craig","['Robert Pattinson', 'Bruce Wayne, The Batman', 'Zoë Kravitz', 'Selina Kyle', 'Jeffrey Wright', 'Lt. James Gordon', 'Colin Farrell', 'Oz, The Penguin', 'Paul Dano', 'The Riddler', 'John Turturro', 'Carmine Falcone']",Warner Bros. Pictures,"Dylan Clark Productions, Warner Bros., 6th & Idaho Productions, DC Entertainment",369300000.0,0.85,0.87,523,Action,"Mar 4, 2022  Wide","Apr 19, 2022",https://www.rottentomatoes.com/m/the_batman,"Action, Adventure, Crime, Drama"
Ambulance,"Over one day across the streets of L.A., three lives will change forever. In this breakneck thriller from director-producer Michael Bay, decorated veteran Will Sharp (Emmy winner Yahya Abdul-Mateen II, Candyman, The Matrix Resurrections), desperate for money to cover his wife's medical bills, asks for help from the one person he knows he shouldn't--his adoptive brother Danny (Oscar® nominee Jake Gyllenhaal, Zodiac, Spider-Man: Far From Home). A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million. With his wife's survival on the line, Will can't say no. But when their getaway goes spectacularly wrong, the desperate brothers hijack an ambulance with a wounded cop clinging to life and ace EMT Cam Thompson (Eiza González, Fast & Furious Presents: Hobbs & Shaw, Baby Driver) onboard. In a high-speed pursuit that never stops, Will and Danny must evade a massive, city-wide law enforcement response, keep their hostages alive, and somehow try not to kill each other, all while executing the most insane escape L.A. has ever seen.",Eng,136,Michael Bay,"Michael Bay, Bradley J. Fischer, James Vanderbilt, William Sherak, Ian Bryce","Chris Fedak, Laurits Munch-Petersen","['Jake Gyllenhaal', 'Danny Sharp', 'Yahya Abdul-Mateen II', 'Will Sharp', 'Eiza González', 'Cam Thompson', 'Moses Ingram', 'Amy Sharp', 'Jackson White', 'Officer Zach', 'Cedric Sanders', 'Officer Mark']",Universal Pictures,"New Republic Pictures, Universal Pictures, Bay Films, Endeavor Content, Project X Entertainment",22300000.0,0.68,0.88,251,Action,"Apr 8, 2022  Wide","May 24, 2022",https://www.rottentomatoes.com/m/ambulance,"Action, Mystery & thriller, Crime, Drama"
Guy Ritchies The Covenant,"Guy Ritchie's The Covenant follows US Army Sergeant John Kinley (Jake Gyllenhaal) and Afghan interpreter Ahmed (Dar Salim). After an ambush, Ahmed goes to Herculean lengths to save Kinley’s life. When Kinley learns that Ahmed and his family were not given safe passage to America as promised, he must repay his debt by returning to the war zone to retrieve them before the Taliban hunts them down first.",Eng,123,Guy Ritchie,"Guy Ritchie, Ivan Atkinson, John Friedberg, Josh Berger","Guy Ritchie, Ivan Atkinson, Marn Davies","['Jake Gyllenhaal', 'Sergeant John Kinley', 'Dar Salim', 'Ahmed', 'Antony Starr', 'Eddie Parker', 'Alexander Ludwig', 'Sergeant Declan Brady', 'Bobby Schofield', 'Steve Kershaw', 'Emily Beecham', 'Caroline Kinley']",United Artists Releasing,"STX Films, Toff Guy",16900000.0,0.83,0.98,119,War,"Apr 21, 2023  Wide","May 9, 2023",https://www.rottentomatoes.com/m/guy_ritchies_the_covenant,"War, Drama, Action, Crime, Mystery & thriller"
