Title,Runtime,Tomato Meter,Audience Score,No. Reviews,Genre,Embedding-0,Embedding-1,Embedding-2,Embedding-3,Embedding-4,Embedding-5,Embedding-6,Embedding-7,Embedding-8,Embedding-9,Embedding-10,Embedding-11,Embedding-12,Embedding-13,Embedding-14,Embedding-15,Embedding-16,Embedding-17,Embedding-18,Embedding-19
Prospect 2018,98,0.89,0.74,56,Sci-fi,-0.0070235683,0.00058651005,0.004152938,-0.0039861375,-0.013818895,-0.0055795293,0.007505101,-0.009823188,-0.0058354377,-0.009526208,-0.0028971585,0.0016861486,-0.0102297515,-0.0128310025,0.0023262564,0.009662801,0.0017418445,-0.0042430097,-0.007356158,0.011065371
Okja,118,0.86,0.81,242,Adventure,-0.0095536765,-0.002356568,-0.010315537,0.0024859984,-0.010113125,-0.00831001,-0.0018075962,0.00566067,-0.012755868,0.012926161,-0.003515907,0.004480131,-0.0006452227,-0.00037552454,-0.010310834,-0.0035016625,0.0067764283,0.009065496,-0.01649771,-0.0090738265
Xmen,104,0.82,0.83,175,Action,0.01686556,-0.0014651765,-0.0040187635,-0.0061318562,-0.006317078,-0.029077837,0.007626547,-0.012334188,-0.0013842157,0.0029697153,0.0048439614,-0.015709132,-0.005722122,-0.0029915883,0.015841085,0.0028095406,0.02431662,0.007922834,0.003121519,-0.0050665573
White Men Cant Jump 2023,101,0.26,0.6,89,Comedy,0.009689439,-0.010188274,0.0014277985,0.0026172725,0.004574289,-0.004202039,0.008002197,-0.008591998,0.0038980544,0.0047966926,0.0059798053,0.0039462694,-0.0037913374,0.000636808,0.018864159,0.0056679314,-0.0012747664,0.006411045,0.014677087,-0.012622019
Dream 2023,125,0.38,0.74,8,Comedy,0.012404643,-0.0061686765,-0.0015330296,0.00014665611,-0.002596243,-0.016638765,0.015533304,-0.02065536,0.0049240543,0.0008739207,0.003027254,-0.008049661,-0.00032434388,-0.014327822,-0.009307056,0.009019163,0.008489219,0.013509202,-0.011550898,-0.0018149465
Fantasy Football,98,0.33,0.79,6,Kids & family,0.0101502165,-0.0023545665,-0.005247997,0.001487951,0.0048197005,0.0031603705,0.009413406,0.0069359066,0.0038396008,0.01893692,-0.011005007,0.00030753436,-0.013357153,0.009228809,-0.0038414407,0.0018223763,-0.0031802128,-0.0076966165,0.008044486,-0.015545087
Chick Fight,97,0.38,0.2,29,Comedy,0.007441528,0.010252751,0.008482192,-0.005371616,-0.0126105,0.013829561,-0.00071245024,-0.004383259,0.008644819,-0.014347596,-0.0033850234,-0.002306786,-4.630657e-05,-0.014980403,-0.006960912,0.022298086,-0.0048643635,0.01032042,0.0008286193,0.003856888
White Men Cant Jump,114,0.75,0.69,107,Comedy,8.7413195e-05,0.008164492,0.0062105046,0.0046855337,-0.004229773,0.0057807374,-0.0039075445,-0.008192001,0.0012407869,0.0047388794,-0.0120365005,-0.0059711966,-0.0008458726,-0.013530178,0.0043936344,0.018308762,0.0015771405,0.013199577,0.005278585,0.007675332
Bs High,95,1.0,0.87,14,Documentary,-0.00090191123,0.0025502588,-0.010704175,-0.00016717314,-0.010575119,-0.00072690565,0.009687047,-0.00045256392,0.009905852,-0.0029799684,-0.0032557305,-0.0045792153,-0.0021342332,0.008863747,-0.0046810964,-0.009702353,0.0035630919,0.005466116,0.00734645,0.0057180235
Chang Can Dunk,109,0.95,0.74,22,Kids & family,0.007308486,-0.012856126,0.0011350237,0.01842999,-0.0058958083,-0.020154526,-0.01590301,-0.011017432,-0.00714218,0.004322479,-0.00024427884,-0.0022471226,0.0058006896,0.008635948,-0.0050239847,-0.010656461,0.006606852,-0.0017978795,0.01473113,-0.0057724672
Torn 2021,92,1.0,0.89,19,Documentary,-0.00067963154,0.007907154,0.0015241258,0.000712138,0.006500722,-0.020783393,0.0054206485,-0.014714068,0.0072162645,0.0011673735,0.00406182,0.0024994607,-0.0050973548,0.013654647,0.016442526,0.0032729544,0.01745603,-0.007744069,-0.004203155,-0.010243895
Stephen Curry Underrated,110,0.85,0.86,34,Documentary,0.0056692534,0.00011148676,0.004506911,-0.008812722,0.005037482,-0.016469693,-7.7041426e-05,-0.0012546729,0.007159733,0.0070699053,0.0035210592,0.013842905,-0.00603442,0.015677616,-0.002501808,0.009586674,0.0007764477,0.007977228,0.005820931,-0.0008029487
Pele 2021,109,0.84,0.75,31,Documentary,0.013382725,-0.0044208216,0.0043683425,-0.019118212,0.0194963,0.0027300422,0.0024433073,0.005384886,0.015520543,0.0152080925,-0.0034138255,-0.0014262144,0.003422754,0.0048891576,0.00019025915,0.0014504843,-0.001549456,0.011351149,0.0034678467,-0.0032194345
Andre The Giant,85,0.92,0.92,24,Documentary,0.008998885,-0.0020787746,0.0035244017,-0.0085289925,0.01027381,-0.020092096,0.010636991,-0.00022975876,0.010515049,0.0037325795,0.0055067176,0.0015333451,0.002552204,0.020137403,0.013579002,-0.0074382722,0.016151479,-0.004662591,-0.0044096815,-0.007325473
Dive 2022,95,1.0,0.91,8,Drama,0.008304732,-0.010587051,-0.00059143326,-0.0018861409,0.021207767,-0.007192063,-0.007618384,0.013768753,0.0027609088,0.009297511,-0.013491044,0.01046983,-0.004128979,-0.0061529754,0.006909594,-0.0003958637,-0.0051116827,-0.005458606,-0.005005601,-0.007914743
Zero To Hero,102,1.0,0.84,5,Drama,0.010458425,-0.012185407,-0.0017762852,-0.011750159,-0.005688508,-0.01682401,0.0030672525,-0.007110187,0.012140822,-0.0018915444,-0.004268575,-0.0011884123,0.0026002016,0.013234926,0.0054021515,-0.007982114,0.01095266,0.003049308,-0.024206992,-0.0061700577
The End Of The Storm,99,0.71,0.86,7,Documentary,0.00015868731,-0.015802836,-0.005863157,-0.013339922,-0.007239955,0.008330743,-0.008818984,-0.0031870522,0.0014022185,-0.0066813426,0.0038334876,-0.0026922242,0.0082551045,-0.012083406,0.0029181384,0.002671697,-0.0111691225,0.0051976116,0.009120556,-0.007904547
Mcenroe,104,0.93,0.81,40,Documentary,-0.0015041288,0.0024886671,-0.0041502444,-0.0036535352,-0.00042014188,-0.005728665,-0.004901559,-0.01114083,0.011059506,-0.006095068,0.009696943,-0.002995555,-0.0041394555,-0.0027037833,0.003986308,-0.011907194,-0.012748739,0.004860866,0.005326849,-0.0015676997
Reggie 2023,104,1.0,0.9,12,Documentary,0.020327825,-0.0013356381,-0.0016973339,-0.0068232818,-0.0008863353,0.0040789093,0.008441311,0.009075184,-0.00059890747,0.005777821,0.0015604866,-0.012844786,-0.017614018,0.023824278,-0.013044888,0.004785293,0.0040532188,0.0029761207,-0.016438419,-0.005799261
1080265-Requiem For A Heavyweight,87,0.89,0.88,46,Drama,-0.00024641835,-0.0011348154,-0.014480064,-0.010149563,0.011264278,0.007403662,-0.009669097,0.018593332,0.0038311754,-0.018335644,-0.009957608,-0.00594112,-4.5380184e-05,0.00135637,-0.008831704,0.00046986583,0.0016941779,0.0010102845,-0.00062332756,-0.0008037792
Raymond Lewis La Legend,82,1.0,0.78,12,Documentary,-0.00074834935,-0.0041404483,0.0012389019,-0.011860734,-0.0019290413,0.015278558,-0.01870647,-0.020683244,0.016457673,-0.006435306,0.0040934044,-0.019789841,0.008067066,-0.006819402,-0.015544539,0.012264338,-0.006416481,0.00095363223,0.0007458495,0.01009322
Alaskan Nets,117,0.86,0.89,7,Documentary,-0.008840256,-0.005971196,-0.0022235536,0.00036934932,0.007085117,-0.0056096427,0.002472643,0.0045422283,0.00034595933,0.011515473,0.01780068,-0.01073723,0.006829895,0.007558942,-0.008447723,0.011825962,0.014885354,0.009343905,-0.00425277,-0.003532508
The Weight Of Gold,60,0.94,0.94,17,Documentary,0.0043597235,-0.024049979,-0.009260136,-0.0059986855,-0.0009259631,-0.0015785198,-0.006264937,-0.0035095036,-0.005180062,0.0018000628,0.0076889107,-0.0056728637,0.00256516,0.0029537913,0.0088918805,0.018359156,-0.006696918,-0.002055367,-0.005310836,-0.008701317
Dave Chappelle The Closer,72,0.36,0.95,11,Comedy,-0.01643325,-0.010669598,-0.016251747,-0.005437157,0.005823073,-0.014385817,-0.0038501676,-0.012419922,0.010411447,-0.00505175,-0.00731536,0.0050807917,-0.003321208,-0.0028713357,0.0058330554,-0.0032756198,0.003858063,-0.016234,-0.003096473,-0.0076444186
Ricky Gervais Armageddon,62,0.5,0.63,6,Comedy,0.010079059,0.010871992,0.009064453,-0.00040795916,-0.0046302853,-0.020171063,-0.002971582,-0.012161896,0.009293163,0.0027957982,-0.003761518,-0.0022240027,-0.012060059,-0.0040516043,0.0118479,-0.0031566396,0.010173246,0.0031169541,-0.011607515,-0.003020351
