,Title,Synopsis,Original Language,Runtime,Director,Writer,Top Cast,Tomato Meter,Audience Score,No. Reviews,Genre,Link
229,Logan 2017,"In the near future, a weary Logan (Hugh Jackman) cares for an ailing Professor X (Patrick Stewart) at a remote outpost on the Mexican border. His plan to hide from the outside world gets upended when he meets a young mutant (Dafne Keen) who is very much like him. Logan must now protect the girl and battle the dark forces that want to capture her.", English, 2h 17m, James Mangold," James Mangold, Michael Green, Scott Frank","['Hugh Jackman', 'Logan', 'Patrick Stewart', 'Charles', 'Dafne Keen', 'Laura', 'Richard E. Grant', 'Dr. Rice', 'Doris Morgado', 'Maria', 'Boyd Holbrook', 'Pierce']",93%,90%,430," Action, Adventure, Fantasy",https://www.rottentomatoes.com/m/logan_2017
230,Pirates Of The Caribbean The Curse Of The Black Pearl,"Capt. Jack Sparrow (Johnny Depp) arrives at Port Royal in the Caribbean without a ship or crew. His timing is inopportune, however, because later that evening the town is besieged by a pirate ship. The pirates kidnap the governor's daughter, Elizabeth (Keira Knightley), who's in possession of a valuable coin that is linked to a curse that has transformed the pirates into the undead. A gallant blacksmith (Orlando Bloom) in love with Elizabeth allies with Sparrow in pursuit of the pirates.", English, 2h 23m, Gore Verbinski," Ted Elliott, Terry Rossio, Stuart Beattie, Jay Wolpert","['Johnny Depp', 'Captain Jack Sparrow', 'Geoffrey Rush', 'Barbossa', 'Orlando Bloom', 'Will Turner', 'Keira Knightley', 'Elizabeth Swann', 'Jack Davenport', 'Commodore Norrington', 'Kevin R. McNally', 'Joshamee Gibbs']",80%,86%,220," Adventure, Action, Fantasy",https://www.rottentomatoes.com/m/pirates_of_the_caribbean_the_curse_of_the_black_pearl
231,Free Guy,"In ""Free Guy,"" a bank teller who discovers he is actually a background player in an open-world video game, decides to become the hero of his own story... one he rewrites himself. Now in a world where there are no limits, he is determined to be the guy who saves his world his way... before it is too late.", English, 1h 55m, Shawn Levy," Matt Lieberman, Zak Penn","['Ryan Reynolds', 'Guy', 'Jodie Comer', 'Millie, Molotov Girl', 'Joe Keery', 'Keys', 'Lil Rel Howery', 'Buddy', 'Utkarsh Ambudkar', 'Mouser', 'Taika Waititi', 'Antoine']",80%,94%,296," Action, Adventure, Comedy",https://www.rottentomatoes.com/m/free_guy
232,Predestination,A temporal agent (Ethan Hawke) embarks on a final time-traveling assignment to prevent an elusive criminal from launching an attack that kills thousands of people., English (Australia), 1h 37m," Michael Spierig, Peter Spierig"," Michael Spierig, Peter Spierig","['Ethan Hawke', 'Sarah Snook', 'Noah Taylor', 'Christopher Kirby', 'Mr. Miles', 'Christopher Sommers', 'Mr. Miller', 'Cate Wolfe', 'Beth']",84%,75%,112," Sci-fi, Action, Mystery & thriller",https://www.rottentomatoes.com/m/predestination
233,The Dark Knight Rises,"It has been eight years since Batman (Christian Bale), in collusion with Commissioner Gordon (Gary Oldman), vanished into the night. Assuming responsibility for the death of Harvey Dent, Batman sacrificed everything for what he and Gordon hoped would be the greater good. However, the arrival of a cunning cat burglar (Anne Hathaway) and a merciless terrorist named Bane (Tom Hardy) force Batman out of exile and into a battle he may not be able to win.", English, 2h 45m, Christopher Nolan," Jonathan Nolan, Christopher Nolan","['Christian Bale', 'Bruce Wayne, Batman', 'Anne Hathaway', 'Selina Kyle', 'Tom Hardy', 'Bane', 'Marion Cotillard', 'Miranda Tate', 'Joseph Gordon-Levitt', 'John Blake', 'Michael Caine', 'Alfred']",87%,90%,379," Action, Adventure, Mystery & thriller, Fantasy",https://www.rottentomatoes.com/m/the_dark_knight_rises
234,The Woman King,"The Woman King is the remarkable story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen. Inspired by true events, The Woman King follows the emotionally epic journey of General Nanisca (Oscar®-winner Viola Davis) as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life. Some things are worth fighting for....", English, 2h 15m, Gina Prince-Bythewood, Dana Stevens,"['Viola Davis', 'Nanisca', 'Thuso Mbedu', 'Nawi', 'Lashana Lynch', 'Izogie', 'Sheila Atim', 'Amenza', 'Hero Fiennes Tiffin', 'Santo Ferreira', 'John Boyega', 'King Ghezo']",94%,99%,274," Action, Adventure, History, Drama, War",https://www.rottentomatoes.com/m/the_woman_king
235,John Wick Chapter 2,"Retired super-assassin John Wick's plans to resume a quiet civilian life are cut short when Italian gangster Santino D'Antonio shows up on his doorstep with a gold marker, compelling him to repay past favors. Ordered by Winston, kingpin of secret assassin society The Continental, to respect the organization's ancient code, Wick reluctantly accepts the assignment to travel to Rome to take out D'Antonio's sister, the ruthless capo atop the Italian Camorra crime syndicate.", English, 2h 2m, Chad Stahelski, Derek Kolstad,"['Keanu Reeves', 'John Wick', 'Common', 'Cassian', 'Laurence Fishburne', 'Bowery King', 'Riccardo Scamarcio', ""Santino D'Antonio"", 'Ruby Rose', 'Ares', 'Lance Reddick', 'Charon']",89%,85%,285," Action, Mystery & thriller",https://www.rottentomatoes.com/m/john_wick_chapter_2
236,Spider Man Homecoming,"Thrilled by his experience with the Avengers, young Peter Parker returns home to live with his Aunt May. Under the watchful eye of mentor Tony Stark, Parker starts to embrace his newfound identity as Spider-Man. He also tries to return to his normal daily routine -- distracted by thoughts of proving himself to be more than just a friendly neighborhood superhero. Peter must soon put his powers to the test when the evil Vulture emerges to threaten everything that he holds dear.", English, 2h 13m, Jon Watts," Jonathan M. Goldstein, John Francis Daley, Jon Watts, Christopher Ford, Chris McKenna, Erik Sommers","['Tom Holland', 'Peter Parker, Spider-Man', 'Michael Keaton', 'Adrian Toomes, Vulture', 'Robert Downey Jr.', 'Tony Stark, Iron Man', 'Marisa Tomei', 'May Parker', 'Jon Favreau', 'Happy Hogan', 'Gwyneth Paltrow', 'Pepper Potts']",92%,87%,400," Action, Adventure, Fantasy, Comedy",https://www.rottentomatoes.com/m/spider_man_homecoming
237,Godzilla 2014,"Ford Brody (Aaron Taylor-Johnson), a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe (Bryan Cranston). Soon, both men are swept up in an escalating crisis when Godzilla, King of the Monsters, arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco.", English, 2h 3m, Gareth Edwards, Max Borenstein,"['Aaron Taylor-Johnson', 'Ford Brody', 'Ken Watanabe', 'Dr. Ishiro Serizawa', 'Elizabeth Olsen', 'Elle Brody', 'Juliette Binoche', 'Sandra Brody', 'Sally Hawkins', 'Dr. Vivienne Graham', 'David Strathairn', 'Admiral William Stenz']",76%,66%,330," Sci-fi, Action, Adventure",https://www.rottentomatoes.com/m/godzilla_2014
238,Extraction 2,"Chris Hemsworth returns as Tyler Rake in EXTRACTION 2, the sequel to Netflix's blockbuster action film EXTRACTION. After barely surviving the events of the first movie, Rake is back as the Australian black ops mercenary, tasked with another deadly mission: rescuing the battered family of a ruthless Georgian gangster from the prison where they are being held.", English, 2h 3m, Sam Hargrave," Ande Parks, Joe Russo, Anthony Russo","['Chris Hemsworth', 'Tyler Rake', 'Golshifteh Farahani', 'Nik Khan', 'Tornike Gogrichiani', 'Zurab', 'Adam Bessa', 'Yaz', 'Daniel Bernhardt', 'Konstantine', 'Tinatin Dalakishvili', 'Ketevan']",79%,85%,134," Action, Mystery & thriller",https://www.rottentomatoes.com/m/extraction_2
