,Title,Synopsis,Original Language,Runtime,Director,Writer,Top Cast,Tomato Meter,Audience Score,No. Reviews,Genre,Link
1509,Forks Over Knives,Researchers explore the possibility that people changing their diets from animal-based to plant-based can help eliminate or control diseases like cancer and diabetes., English, 1h 36m, Lee Fulkerson, Lee Fulkerson,"['Lee Fulkerson', 'Himself - Narrator Narrator', 'Lee Fulkerson', 'Director', 'Lee Fulkerson', 'Screenwriter', 'John Corry', 'Producer', 'Brian L. Wendel', 'Executive Producer', 'John Orfanopoulos', 'Cinematographer']",59%,79%,37, Documentary,https://www.rottentomatoes.com/m/forks_over_knives
1510,Generation Wealth,"Lauren Greenfield examines materialism, celebrity culture, and social status and reflects on the desire to be wealthy at any cost. This visual history of the growing obsession with wealth uses first-person interviews in Los Angeles, Moscow, Dubai, China and around the world to bear witness to the global boom-and-bust economy and document its complicated consequences.", English, 1h 46m, Lauren Greenfield, Lauren Greenfield,"['Lauren Greenfield', 'Bret Easton Ellis', 'Paris Cronin', 'Mijanou Bardot', 'Sheldon Greenfield', 'Patricia Greenfield']",46%,52%,95, Documentary,https://www.rottentomatoes.com/m/generation_wealth
1511,I Am 2011,"Filmmaker Tom Shadyac interviews philosophers, scientists and others to find out ways -- individually and communally -- that people can improve the way they live.", English, 1h 16m, Tom Shadyac, Tom Shadyac,"['Tom Shadyac', 'Self', 'Desmond Tutu', 'Self', 'Noam Chomsky', 'Self', 'Chris Jordan', 'Self', 'Tom Shadyac', 'Director', 'Tom Shadyac', 'Screenwriter']",37%,80%,46, Documentary,https://www.rottentomatoes.com/m/i_am_2011
1512,Deconstructing Karen,"In this documentary feature film, white women attend the wildest dinner party of their lives. The main course is a radically honest conversation on racism. While sipping white wine and passing the breadbasket, these women experience an eye-opening journey, discovering how they uphold white supremacy every -- single -- day. For some guests there are epiphanies, others resistance. But for all the guests, something has changed, and they can never unknow the painful truths revealed over this dinner. Meet the entrepreneurial women behind this powerful work and go deep on WHY this is work is worth risking their lives.", English, 1h 15m, Patty Ivins Specht," Elisa Bonora, Patty Ivins Specht, Rit Saraswat","['Saira Rao', 'Self', 'Regina Jackson', 'Self', 'Patty Ivins Specht', 'Director', 'Elisa Bonora', 'Writer', 'Patty Ivins Specht', 'Writer', 'Rit Saraswat', 'Writer']",40%,62%,5, Documentary,https://www.rottentomatoes.com/m/deconstructing_karen
1513,Naqoyqatsi,"The long-awaited sequel to the groundbreaking films ""Koyaanisqatsi"" and ""Powaqqatsi."" Filmmaker Godfrey Reggio once again takes us on an emotional journey that highlights the profundities embedded in our everyday lives. In this final installment of the Qatsi trilogy, Reggio chronicles with breathtaking imagery the most significant event of the last five thousand years: the shift from a world organized by the principles of nature to one dominated by technology, the synthetic and virtual.", English, 1h 29m, Godfrey Reggio, Godfrey Reggio,"['Bhagwan Mirchandani', 'Jack Shamblin', 'Steven Soderbergh', 'Godfrey Reggio', 'Director', 'Godfrey Reggio', 'Writer', 'Steven Soderbergh', 'Executive Producer']",48%,70%,52," Documentary, Music",https://www.rottentomatoes.com/m/naqoyqatsi
1514,Vaxxed From Cover Up To Catastrophe 2016,An investigation into the CDC's destruction of a study linking autism to the MMR vaccine., English, 1h 31m, Andrew Wakefield," Del Matthew Bigtree, Andrew Wakefield","['Del Matthew Bigtree', 'Mark F. Blaxill', 'Michaela Blaxill', 'Baxter Burrowes', 'Cruz Burrowes', 'Dan Burton']",38%,83%,13, Documentary,https://www.rottentomatoes.com/m/vaxxed_from_cover_up_to_catastrophe_2016
1515,Hired Gun 2017,"Just 20 feet from stardom, elite musicians share behind-the-scene stories of touring and what it takes to play songs with the world's most iconic bands; includes interviews with Alice Cooper, Rob Zombie, Steve Vai, David Foster and Ray Parker Jr.", English, 1h 30m, Fran Strine," Fran Strine, Tim Calandrello","['Alice Cooper', 'Self', 'Rob Zombie', 'Self', 'Ray Parker Jr.', 'Self', 'David Foster', 'Self', 'Steve Vai', 'Self', 'Fran Strine', 'Director']",50%,74%,6," Documentary, Music",https://www.rottentomatoes.com/m/hired_gun_2017
1516,Anxious Nation,"Anxious Nation explores and captures the many faces and facets of anxiety. This feature-length documentary takes a deep look into the crisis of anxiety and mental health in America, especially its impact on kids (ages 10-26) and families. We zero in on how anxiety shows up, the nurture/nature debate, what's happening in homes and society that's significantly adding to the problem, the crisis on college campuses, and the impact of anxiety and mental health in lower socioeconomic communities, especially the brown and black communities. We discuss stigma, loneliness, isolation, disconnection, the alarming rise in suicide, the dangers of social media, overmedication, incorrect diagnoses, and the horrific mental health ramifications of the COVID-19 pandemic.", English, 1h 41m," Laura Morton, Vanessa Roth"," Laura Morton, Vanessa Roth","['Laura Morton', 'Self', 'Laura Morton', 'Director', 'Vanessa Roth', 'Director', 'Laura Morton', 'Writer', 'Vanessa Roth', 'Writer', 'Laura Morton', 'Producer']",43%,100%,7, Documentary,https://www.rottentomatoes.com/m/anxious_nation
1517,Death Of A Nation,"Through historical re-creations and a searching examination of fascism and white supremacy, filmmaker Dinesh D'Souza exposes hidden history and truths.", English, 1h 48m," Dinesh D'Souza, Bruce Schooley"," Dinesh D'Souza, Bruce Schooley","[""Dinesh D'Souza"", 'Self', ""Debbie D'Souza"", 'Self', 'Angela Primm', 'Self', 'Richard Spencer', 'Self', 'Allen Guelzo', 'Self', 'Edwin Black', 'Self']",0%,88%,13, Documentary,https://www.rottentomatoes.com/m/death_of_a_nation
1518,Salinger,"Filmmaker Shane Salerno examines the life of famously reclusive writer J.D. Salinger, author of ""The Catcher in the Rye.""", English, 2h 9m, Shane Salerno, Shane Salerno,"['Philip Seymour Hoffman', 'Ed Norton', 'John Cusack', 'Martin Sheen', 'Tom Wolfe', 'Gore Vidal']",37%,52%,87, Documentary,https://www.rottentomatoes.com/m/salinger
1519,Naked Ambition An R Rated Look At An X Rated Industry,Porn stars Jenna Jameson and Jesse Jane are among those interviewed in an intimate look at the lucrative adult-entertainment industry., English, 1h 21m, Michael Grecco, Charles Holland,"['Michael Grecco', 'Tera Patrick', 'Evan Seinfeld', 'Simon Karmarkar', 'Heather Veitch', 'Lori Albee']",38%,38%,8, Documentary,https://www.rottentomatoes.com/m/naked_ambition_an_r_rated_look_at_an_x_rated_industry
1520,Hillarys America The Secret History Of The Democratic Party,Filmmaker Dinesh D'Souza examines presidential candidate Hillary Clinton and the Democratic Party., English, 1h 47m," Dinesh D'Souza, Bruce Schooley"," Dinesh D'Souza, Bruce Schooley","[""Dinesh D'Souza"", 'Self', 'Jonah Goldberg', 'Self', 'Andrea Cohen', 'Margaret Sanger', 'Mikaela Krantz', 'Young Hillary Clinton', 'Carol M. Swain', 'Self', 'Rebekah Turner', 'Hillary Clinton']",4%,80%,28, Documentary,https://www.rottentomatoes.com/m/hillarys_america_the_secret_history_of_the_democratic_party
1521,My Life Directed By Nicolas Winding Refn,"Filmmaker Liv Corfixen, wife of Nicolas Winding Refn, follows her husband as he directs ""Only God Forgives"" in Thailand.", Danish, 58m, Liv Corfixen, Liv Corfixen,"['Nicolas Winding Refn', 'Self', 'Liv Corfixen', 'Self', 'Ryan Gosling', 'Self', 'Kristin Scott Thomas', 'Self', 'Liv Corfixen', 'Director', 'Cliff Martinez', 'Original Music']",58%,40%,24, Documentary,https://www.rottentomatoes.com/m/my_life_directed_by_nicolas_winding_refn
1522,Ultrasuede In Search Of Halston,Filmmaker Whitney Smith documents the couturier and milliner's work during the 1970s as he created the casual chic look., English, 1h 33m, Whitney Smith," Whitney Smith, Anne Goursaud","['Phillip Bloch', 'Stephen Burrows', 'Pat Cleveland', 'Bob Colacello', 'Anjelica Huston', 'Billy Joel']",33%,41%,27, Documentary,https://www.rottentomatoes.com/m/ultrasuede_in_search_of_halston
1523,A Lego Brickumentary,Filmmakers Daniel Junge and Kief Davidson explore the history and worldwide cultural impact of the LEGO universe., English, 1h 32m," Daniel Junge, Kief Davidson"," Daniel Junge, Davis Coombe, Kief Davidson","['Jason Bateman', 'Narrator', 'Daniel Junge', 'Director', 'Kief Davidson', 'Director', 'Daniel Junge', 'Writer', 'Davis Coombe', 'Writer', 'Kief Davidson', 'Writer']",54%,64%,50, Documentary,https://www.rottentomatoes.com/m/a_lego_brickumentary
1524,Shawn Mendes In Wonder,"A portrait of the singer-songwriter's life, chronicling the past few years of his rise and journey.", English, 1h 23m, Grant Singer, Connor Brashier,"['Shawn Mendes', 'Self', 'Grant Singer', 'Director', 'Connor Brashier', 'Writer', 'Shawn Mendes', 'Executive Producer', 'Ben Winston', 'Executive Producer', 'Andrew Gertler']",47%,79%,15," Documentary, Music",https://www.rottentomatoes.com/m/shawn_mendes_in_wonder
1525,Video Games The Movie,"Through interviews with developers, publishers and consumers, filmmaker Jeremy Snead examines video game history and culture and how the games are consumed.", English, 1h 40m, Jeremy Snead, Jeremy Snead,"['Sean Astin', 'Narrator', 'Jeremy Snead', 'Director', 'Jeremy Snead', 'Writer', 'J. Allard', 'Producer', 'Kimberly Much', 'Producer', 'Jeremy Snead', 'Producer']",18%,36%,17, Documentary,https://www.rottentomatoes.com/m/video_games_the_movie
1526,The Devil And Father Amorth,Filmmaker William Friedkin follows the Rev. Gabriele Amorth as he performs an exorcism on a woman in Italy., English, 1h 8m, William Friedkin," William Friedkin, Mark Kermode","['William Friedkin', 'Self', 'Father Gabriele Amorth', 'Self', 'William Friedkin', 'Director', 'William Friedkin', 'Writer', 'Mark Kermode', 'Writer', 'Mickey Liddell', 'Producer']",44%,23%,39, Documentary,https://www.rottentomatoes.com/m/the_devil_and_father_amorth
1527,The Brainwashing Of My Dad,Filmmaker Jen Senko examines how the media influenced her father to switch from democrat to conservative., English, 1h 35m, Jen Senko," Jen Senko, Melodie Bryant, Kala Mandrake","['Jen Senko', 'Narrator', 'Matthew Modine', 'Narrator', 'Jen Senko', 'Director', 'Jen Senko', 'Writer', 'Melodie Bryant', 'Writer', 'Kala Mandrake', 'Writer']",58%,76%,12, Documentary,https://www.rottentomatoes.com/m/the_brainwashing_of_my_dad
1528,Sympathy-For-The-Devil-One-Plus-One,Scenes from the Rolling Stones' recording studio sessions are interspersed with footage of the Vietnam War., English, 1h 39m, Jean-Luc Godard, Jean-Luc Godard,"['Mick Jagger', 'Self', 'Keith Richards', 'Self', 'Brian Jones', 'Self', 'Bill Wyman', 'Self', 'Charlie Watts', 'Self', 'Marianne Faithfull', 'Self']",44%,57%,9, Documentary,https://www.rottentomatoes.com/m/sympathy-for-the-devil-one-plus-one
1529,Trudell 2004,"Filmmaker Heather Rae documents the life and work of American Indian activist John Trudell. In the late 60's, John and a community group occupy Alcatraz Island for 21 months, bringing international recognition to the American Indian cause. In 1979 John burned a U.S. flag on the the steps of the FBI headquarters in Washington DC and within hours his family perished in a suspicious fire. He spent several years wandering the country until he found a new way to present his ideals through music.", English, 1h 20m, Heather Rae, Russell Friedenberg,"['Robert Redford', 'Kris Kristofferson', 'Sam Shepard', 'Amy Ray', 'Val Kilmer', 'Jackson Browne']",33%,76%,30, Documentary,https://www.rottentomatoes.com/m/trudell_2004
1530,Elvis-On-Tour,"This documentary captures Elvis Presley on his 1972 American tour and includes rehearsals, interviews, archival television appearances and backstage moments. With Elvis at his most flamboyant, the film features well-known hits and cover songs showcasing his country, gospel and rhythm-and-blues influences. The Elvis entourage, including Colonel Tom Parker, also makes an appearance. This film was Elvis Presley's final motion picture appearance and won a Golden Globe for best documentary.", English, 1h 33m," Robert Abel, Pierre Adidge"," Robert Abel, Pierre Adidge","['Elvis Presley', 'Self', 'Robert Abel', 'Director', 'Pierre Adidge', 'Director', 'Robert Abel', 'Writer', 'Pierre Adidge', 'Writer', 'Robert Abel', 'Producer']",20%,90%,5," Documentary, Music",https://www.rottentomatoes.com/m/elvis-on-tour
1531,The Unbelievers,Scientists Richard Dawkins and Lawrence Krauss cross the globe to speak publicly about the importance of science and reason., English, 1h 17m, Gus Holwerda," Gus Holwerda, Lawrence Krauss, Luke Holwerda","['Ayaan Hirsi Ali', 'Woody Allen', 'Richard Dawkins', 'Daniel Dennett', 'Cameron Diaz', 'Ricky Gervais']",44%,63%,9, Documentary,https://www.rottentomatoes.com/m/the_unbelievers
1532,Touch The Wall,Olympic swimmers Missy Franklin and Kara Lynn Joyce train together for the 2012 games in London., English, 1h 42m," Grant Barbeito, Christo Brock", Christo Brock,"['Missy Franklin', 'Self', 'Madison Kennedy', 'Self', 'David Marsh', 'Self', 'Cullen Jones', 'Self', 'Dick Franklin', 'Self', 'Rowdy Gaines', 'Self']",40%,96%,5, Documentary,https://www.rottentomatoes.com/m/touch_the_wall
1533,2016 Obamas America,Scholar and author Dinesh D'Souza delves into President Barack Obama's past for clues about America's possible future if Obama wins a second term., English, 1h 27m," Dinesh D'Souza, John Sullivan"," Dinesh D'Souza, John Sullivan","['Cait Brasel', ""Dinesh D'Souza"", 'Sarah Obama', 'Voice', 'Shelby Steele', 'Zackary Steven Graham', 'Paul Kengor']",26%,73%,34, Documentary,https://www.rottentomatoes.com/m/2016_obamas_america
1534,Created Equal Clarence Thomas In His Own Words,Justice Clarence Thomas recounts his extraordinary life story -- from living in poverty as a child to serving on the Supreme Court., English, 1h 56m, Michael Pack, Michael Pack,"['Clarence Thomas', 'Self', 'Michael Pack', 'Director', 'Michael Pack', 'Writer', 'Michael Pack', 'Producer', 'Gina Cappo Pack', 'Executive Producer', 'James Callanan', 'Cinematographer']",33%,99%,18, Documentary,https://www.rottentomatoes.com/m/created_equal_clarence_thomas_in_his_own_words
1535,Finding Joe 2011,"Deepak Chopra, Mick Fleetwood, Rashida Jones and others discuss how mythologist Joseph Campbell's work continues to influence our culture.", English, 1h 23m, Patrick Takaya Solomon, Patrick Takaya Solomon,"['Patrick Takaya Solomon', 'Director', 'Patrick Takaya Solomon', 'Screenwriter', 'Kate Churchill']",36%,82%,11, Documentary,https://www.rottentomatoes.com/m/finding_joe_2011
1536,Meet The Mormons,Filmmaker Blair Treu examines the Mormon faith through the experiences of six devout individuals from around the world., English, 1h 18m, Blair Treu, Blair Treu,"['Blair Treu', 'Director', 'Blair Treu']",18%,89%,11, Documentary,https://www.rottentomatoes.com/m/meet_the_mormons
1537,Misery Loves Comedy,"Comics Martin Short, Nick Swardson, Jimmy Fallon and others talk to actor Kevin Pollak about the dark side of being funny.", English, 1h 34m, Kevin Pollak," Kevin Pollak, John Vorhaus","['Jason Alexander', 'Judd Apatow', 'Scott Aukerman', 'Maria Bamford', 'Kevin Pollak', 'Director', 'Kevin Pollak', 'Writer']",35%,33%,26," Documentary, Comedy",https://www.rottentomatoes.com/m/misery_loves_comedy
1538,Steep,"This documentary tracks the history of extreme skiing, from its advent in the 1960s through its development into a popular modern sport. The story begins with legendary skier Bill Briggs descending Wyoming's Grand Teton Mountain and continues with the extraordinary feats of skiing pioneer Doug Coombs and others. Including incredible and beautiful footage from various remote ski locations in Canada, Alaska and Iceland, the film also features narration by actor Peter Krause.", English, 1h 30m, Mark Obenhaus, Mark Obenhaus,"['Ingrid Backstrom', 'Anselme Baud', 'Bill Briggs', 'Doug Coombs', 'Chris Davenport', 'Stefano De Benedetti']",54%,69%,48, Documentary,https://www.rottentomatoes.com/m/steep
1539,America Imagine The World Without Her 2014,"Political commentator, author and filmmaker Dinesh D'Souza puts forth the notion that America's history is being replaced by another version in which plunder and exploitation are the defining characteristics. D'Souza also posits that the way the country understands the past will determine the future. Using historic re-enactments, D'Souza explores the lives and sacrifices of some of America's greatest heroes, including George Washington and Frederick Douglass.", English, 1h 43m," John Sullivan, Dinesh D'Souza"," Dinesh D'Souza, John Sullivan","['John Sullivan', 'Director', ""Dinesh D'Souza"", 'Director', ""Dinesh D'Souza"", 'Screenwriter', 'John Sullivan', 'Screenwriter', 'Gerald Molen', 'Producer', 'John Sullivan', 'Producer']",8%,84%,25, Documentary,https://www.rottentomatoes.com/m/america_imagine_the_world_without_her_2014
1540,Damnation 2009,The history and controversy surrounding dam removal projects., English, 1h 27m," Ben Knight, Travis Rummel", Ben Knight,"['Ben Knight', 'Narrator', 'Yvon Chouinard', 'Katie Lee', 'Bruce Babbitt', 'Mikal Jakubal', 'Guido Rahr']",50%,80%,6," Documentary, Adventure",https://www.rottentomatoes.com/m/damnation_2009
1541,Michael Moore In Trumpland,"Filmmaker Michael Moore discusses presidential candidates Hillary Clinton and Donald Trump at the Murphy Theatre in Wilmington, Ohio.", English, 1h 13m, Michael Moore, Michael Moore,"['Michael Moore', 'Self', 'Michael Moore', 'Director', 'Michael Moore', 'Writer', 'Michael Moore', 'Producer', 'Carl Deal', 'Producer', 'Mark Shapiro', 'Executive Producer']",54%,44%,35," Documentary, Comedy",https://www.rottentomatoes.com/m/michael_moore_in_trumpland
1542,Moby Doc,"Moby Doc is a surrealist biographical documentary narrated by Moby as he reflects on his turbulent personal life and iconic music from underground punk bands to chart-topping solo artist, and from struggling addict to vegan activist. Featuring interviews with David Lynch and David Bowie, along with extraordinary concert footage, utilizing a unique blend of re-enactments, interviews, and archival footage, audiences will be treated to an insightful, unvarnished look at an artist who has sold more than 20 million albums, an activist who has long championed animal rights, and a man whose traumatic childhood shaped him in profound ways. This introspective journey sets out to answer existential questions of purpose and meaning by examining a life of extreme highs and lows, joy, tragedy, success and failure.", English, 1h 32m, Rob Gordon Bralver," Moby, Rob Gordon Bralver","['Moby', 'Self', 'David Lynch', 'Self', 'Julie Mintz', 'Self', 'Gary Baseman', 'Self', 'Rob Gordon Bralver', 'Director', 'Moby', 'Writer']",50%,57%,22," Documentary, Music",https://www.rottentomatoes.com/m/moby_doc
1543,Aroused,"Filmmaker Deborah Anderson documents the making of a fine-art photography book featuring porn stars Belladonna, Kayden Kross, Lisa Ann, Ash Hollywood, Jesse Jane and others.", English, 1h 13m, Deborah Anderson, Deborah Anderson,"['Deborah Anderson', 'Director', 'Deborah Anderson', 'Writer', 'Mike Moz', 'Executive Producer', 'Trina Venit', 'Executive Producer', 'Deborah Anderson', 'Producer', 'Christopher Gallo', 'Producer']",31%,33%,13, Documentary,https://www.rottentomatoes.com/m/aroused
1544,Being Canadian,Rob Cohen tries to find out what it really means to be Canadian., English, 1h 30m, Robert Cohen, Robert Cohen,"['Robert Cohen', 'Host', ""Catherine O'Hara"", 'Self', 'Cobie Smulders', 'Self', 'Ben Stiller', 'Self', 'Mike Myers', 'Self', 'Seth Rogen', 'Self']",33%,45%,9, Documentary,https://www.rottentomatoes.com/m/being_canadian
1545,Crazy About Tiffanys,Filmmaker Matthew Miele examines how Tiffany & Co. evolved from a simple jewelry store to a global phenomenon., English, 1h 27m, Matthew Miele, Matthew Miele,"['Jessica Biel', 'Self', 'Katie Couric', 'Self', 'Fran Lebowitz', 'Self', 'Baz Luhrmann', 'Self', 'Catherine Martin', 'Self', 'Sam Taylor-Johnson', 'Self']",27%,37%,15, Documentary,https://www.rottentomatoes.com/m/crazy_about_tiffanys
1546,Drew The Man Behind The Poster,The life and work of movie poster artist Drew Struzan., English, 1h 37m, Erik Sharkey," Greg Boas, Charles Ricciardi, Erik Sharkey","['Greg Aronowitz', 'Timothy Bradstreet', 'Joanna Cassidy', 'Alice Cooper', 'Frank Darabont', 'Guillermo del Toro']",50%,71%,10," Documentary, Biography",https://www.rottentomatoes.com/m/drew_the_man_behind_the_poster
1547,Fetishes,"In this documentary, filmmaker Nick Broomfield spends eight weeks at Pandora's Box, a pricey bondage establishment located in New York City. There Broomfield interviews the professional dominatrixes, who give details about their own experiences with bondage and sexual fetishes. The women are then filmed working with their wealthy, often white-collar clients, who openly provide psychological insight into the nature of their own masochistic desires.", English, 1h 24m, Nick Broomfield, Nick Broomfield,"['Nick Broomfield', 'Director', 'Nick Broomfield', 'Producer', ""Michele d'Acosta"", 'Producer', 'Nick Broomfield']",43%,47%,7, Documentary,https://www.rottentomatoes.com/m/fetishes
1548,No Safe Spaces,Filmmaker Justin Folk examines free speech in America., English, 1h 35m, Justin Folk, John Sullivan,"['Justin Folk', 'Director', 'John Sullivan', 'Writer', 'Owen Brennan', 'Producer', 'Justin Folk', 'Producer', 'Mark Joseph', 'Producer', 'Robert J. Moeller', 'Producer']",47%,98%,17, Documentary,https://www.rottentomatoes.com/m/no_safe_spaces
1549,The Anonymous People,Director Greg D. Williams changes the addiction conversation from problems to solutions., English, 1h 28m, Greg D. Williams," Aaron Cohen, Jeff Reilly, Greg D. Williams","['Greg D. Williams', 'Director', 'Aaron Cohen', 'Screenwriter', 'Jeff Reilly', 'Screenwriter', 'Greg D. Williams', 'Screenwriter', 'Paul McCulley', 'Executive Producer', 'John Silverman', 'Executive Producer']",43%,66%,7, Documentary,https://www.rottentomatoes.com/m/the_anonymous_people
1550,1226720-Waveriders,The untold story of Irish big wave surfing., English, 1h 20m, Joel Conroy," Joel Conroy, Lauren Davies","['Cillian Murphy', 'Narrator', 'Joel Conroy', 'Director', 'Joel Conroy', 'Screenwriter', 'Lauren Davies', 'Screenwriter', 'Joel Conroy', 'Producer', 'Margo Harkin', 'Producer']",56%,59%,16," Documentary, Adventure, Biography",https://www.rottentomatoes.com/m/1226720-waveriders
1551,Justin Biebers Believe,"Filmmaker Jon M. Chu moves beyond the spotlight and the attention-grabbing headlines to give pop superstar Justin Bieber a chance to tell his own story. New interviews with the teenage phenomenon reveal long-awaited answers about his passion for making music, his relationships, and coming of age in the public eye. Chu also includes new concert footage, behind-the-scenes access, and special appearances by manager Scooter Braun, and singers Usher, Ludacris and others.", English, 1h 31m, Jon M. Chu, Sarah Landman,"['Justin Bieber', 'Scooter Braun', 'Ryan Good', 'Usher', 'Pattie Mallette', 'Jeremy Bieber']",53%,59%,15," Documentary, Music",https://www.rottentomatoes.com/m/justin_biebers_believe
1552,10011379-New World Order,Alex Jones and other theorizers believe that there is a global conspiracy that threatens humanity., English, 1h 25m," Luke Meyer, Andrew Neel"," Luke Meyer, Andrew Neel","['Alex Jones', 'Luke Rudkowski', 'Bill Clinton', 'Aaron Dykes', 'Rob Jacobson', 'Timuçin Leflef']",56%,49%,9, Documentary,https://www.rottentomatoes.com/m/10011379-new_world_order
1553,Scatter My Ashes At Bergdorfs,"Giorgio Armani, Candice Bergen, Manolo Blahnik, Isaac Mizrahi and others offer a peek behind the backroom doors and into the inner workings of the iconic Manhattan department store.", English, 1h 33m, Matthew Miele, Matthew Miele,"['William Fichtner', 'Narrator', 'Candice Bergen', 'Ashley Olsen', 'Tom Ford', 'Nicole Richie', 'Matthew Miele', 'Director']",48%,42%,46, Documentary,https://www.rottentomatoes.com/m/scatter_my_ashes_at_bergdorfs
1554,Bra Boys,"The Abberton brothers in Maroubra, Australia, belong to their community's surfing subculture, a group with a well-known reputation for partying, hard living and rough justice.", English (Australia), 1h 30m," Sunny Abberton, Macario De Souza"," Sunny Abberton, Stuart Beattie","['Russell Crowe', 'Narrator', 'Sunny Abberton', 'Director', 'Macario De Souza', 'Director', 'Sunny Abberton', 'Writer', 'Stuart Beattie', 'Writer', 'Sunny Abberton', 'Producer']",59%,71%,29, Documentary,https://www.rottentomatoes.com/m/bra_boys
1555,Dinotasia,A journey immersing the audience in the lost world of the Mesozoic through a series of animated short stories., English, 1h 23m," David Kretz, Erik Nelson"," David Kretz, Erik Nelson","['Werner Herzog', 'Narrator', 'David Kretz', 'Director', 'Erik Nelson', 'Director', 'David Kretz', 'Writer', 'Erik Nelson', 'Writer', 'Erik Nelson', 'Producer']",25%,48%,8, Documentary,https://www.rottentomatoes.com/m/dinotasia
1556,Gmo Omg,A father examines the relationship between genetically modified food and his three young children., English, 1h 30m, Jeremy Seifert, Julius Jaensch,"['Jeremy Seifert', 'Vandana Shiva', 'Cary Fowler', 'Dennis Kucinich', 'Bill McKibben', 'Hans R. Herren']",56%,58%,16, Documentary,https://www.rottentomatoes.com/m/gmo_omg
1557,Secret Of Water,"Filmmakers explore the broad range of environmental factors that affect water, and consider the relationship between the element and mankind.", English, 1h 17m," Jirka Rysavy, Saida Medvedeva"," Marina Daynovets, Janice Jensen","['Lex Lang', 'Narrator', 'Jirka Rysavy', 'Director', 'Saida Medvedeva', 'Director', 'Marina Daynovets', 'Writer', 'Janice Jensen', 'Writer', 'Saida Medvedeva', 'Executive Producer']",40%,78%,5, Documentary,https://www.rottentomatoes.com/m/secret_of_water
1558,The Gilligan Manifesto,"At the height of the Cold War, Gilligan's Island depicted seven Americans living in an analogue of a post-apocalyptic world where the survivors have to rebuild civilization. Remarkably, the society they create is pure communist. Interviews with the show's creator and surviving actors reveal that Gilligan's Island was conceived to celebrate Marxist ideals and lampoon democracy.", English, 1h 25m, Cevin D. Soling, Cevin D. Soling,"['Dawn Wells', 'Self', 'Russell Johnson', 'Self', 'Sherwood Schwartz', 'Self', 'Rennie Davis', 'Narrator', 'Cevin D. Soling', 'Director', 'Cevin D. Soling', 'Producer']",20%,86%,5, Documentary,https://www.rottentomatoes.com/m/the_gilligan_manifesto
1559,This Changes Everything 2015,Filmmaker Avi Lewis examines the challenges of climate change and how environmental activists make a difference worldwide., English, 1h 29m, Avi Lewis, Naomi Klein,"['Naomi Klein', 'Narrator', 'Stacey Arwen Raab', 'Avi Lewis', 'Director', 'Naomi Klein', 'Writer', 'Alfonso Cuarón', 'Executive Producer', 'Jodie Evans', 'Executive Producer']",56%,47%,18, Documentary,https://www.rottentomatoes.com/m/this_changes_everything_2015
1560,Where In The World Is Osama Bin Laden,"Filmmaker Morgan Spurlock tours the Middle East in a quest to better understand the area, which spawned one of the world's worst criminals.", English, 1h 33m, Morgan Spurlock," Jeremy Chilnick, Morgan Spurlock","['Morgan Spurlock', 'Self', 'Alexandra Jamieson', 'Self', 'Daryl Isaacs', 'Self', 'Morgan Spurlock', 'Director', 'Jeremy Chilnick', 'Writer', 'Morgan Spurlock', 'Writer']",38%,52%,107, Documentary,https://www.rottentomatoes.com/m/where_in_the_world_is_osama_bin_laden
1561,Farmageddon,A filmmaker explores the assertion that government regulations benefit agri-business and threaten small farms., English, 1h 30m, Kristin Canty, Kristin Canty,"['Mark McAfee', 'Joel Salatin', 'Kristin Canty', 'Director', 'Kristin Canty', 'Writer', 'Kristin Canty', 'Executive Producer', 'Benjamin Eckstein', 'Cinematographer']",57%,81%,14, Documentary,https://www.rottentomatoes.com/m/farmageddon
1562,Hare Krishna The Mantra The Movement And The Swami Who Started It All 2017,"An exploration of the life and philosophy of Srila Prabhupada, the controversial Indian swami whose teachings sparked a movement now known as Hare Krishna.", English, 1h 31m," John Griesser, Jean Griesser, Lauren Ross"," Mukunda Michael Dewil, Jean Griesser","['Joshua M. Greene', 'Gaura Vani Buchwald', 'Bhismadeva Das', 'John Griesser', 'Director', 'Jean Griesser', 'Director', 'Lauren Ross', 'Director']",20%,95%,10, Documentary,https://www.rottentomatoes.com/m/hare_krishna_the_mantra_the_movement_and_the_swami_who_started_it_all_2017
1563,Julian Schnabel A Private Portrait,Pappi Corsicato examines the personal life and public career of celebrated painter and filmmaker Julian Schnabel., English, 1h 24m, Pappi Corsicato, Pappi Corsicato,"['Julian Schnabel', 'Self', 'Al Pacino', 'Self', 'Willem Dafoe', 'Self', 'Pappi Corsicato', 'Director', 'Pappi Corsicato']",50%,--,14, Documentary,https://www.rottentomatoes.com/m/julian_schnabel_a_private_portrait
1564,Mostly Sunny,"Sunny Leone grew up in India with strict Sikh parents, became an adult film star, and reinvented herself as a Bollywood actress and reality TV star.", English, 1h 24m, Dilip Mehta," Deepa Mehta, Dilip Mehta, J. Craig Thompson","['Sunny Leone', 'Self', 'Daniel Weber', 'Self', 'Dilip Mehta', 'Director', 'Deepa Mehta', 'Writer', 'Dilip Mehta', 'Writer', 'J. Craig Thompson', 'Writer']",38%,33%,8, Documentary,https://www.rottentomatoes.com/m/mostly_sunny
